RowID,Year,Year2,Date,Location,IndicatorName,IndicatorValue
4-year cohort graduation ratesLouisiana2011,2010-2011,2011,06/01/2011 12:00:00 AM,Louisiana,4-year cohort graduation rates,71
4-year cohort graduation ratesLouisiana2012,2011-2012,2012,06/01/2012 12:00:00 AM,Louisiana,4-year cohort graduation rates,72
4-year cohort graduation ratesLouisiana2013,2012-2013,2013,06/01/2013 12:00:00 AM,Louisiana,4-year cohort graduation rates,74
4-year cohort graduation ratesLouisiana2014,2013-2014,2014,06/01/2014 12:00:00 AM,Louisiana,4-year cohort graduation rates,75
4-year cohort graduation ratesUnited States2011,2010-2011,2011,06/01/2011 12:00:00 AM,United States,4-year cohort graduation rates,79
4-year cohort graduation ratesUnited States2012,2011-2012,2012,06/01/2012 12:00:00 AM,United States,4-year cohort graduation rates,80
4-year cohort graduation ratesUnited States2013,2012-2013,2013,06/01/2013 12:00:00 AM,United States,4-year cohort graduation rates,81
4-year cohort graduation ratesJefferson Parish2011,2010-2011,2011,06/01/2011 12:00:00 AM,Jefferson Parish,4-year cohort graduation rates,67
4-year cohort graduation ratesJefferson Parish2012,2011-2012,2012,06/01/2012 12:00:00 AM,Jefferson Parish,4-year cohort graduation rates,71
4-year cohort graduation ratesJefferson Parish2013,2012-2013,2013,06/01/2013 12:00:00 AM,Jefferson Parish,4-year cohort graduation rates,69
4-year cohort graduation ratesJefferson Parish2014,2013-2014,2014,06/01/2014 12:00:00 AM,Jefferson Parish,4-year cohort graduation rates,72
4-year cohort graduation ratesEast Baton Rouge2013,2012-2013,2013,06/01/2013 12:00:00 AM,East Baton Rouge,4-year cohort graduation rates,68
4-year cohort graduation ratesEast Baton Rouge2014,2013-2014,2014,06/01/2014 12:00:00 AM,East Baton Rouge,4-year cohort graduation rates,66
4-year cohort graduation ratesNew Orleans2011,2010-2011,2011,06/01/2011 12:00:00 AM,New Orleans,4-year cohort graduation rates,76
4-year cohort graduation ratesNew Orleans2012,2011-2012,2012,06/01/2012 12:00:00 AM,New Orleans,4-year cohort graduation rates,78
4-year cohort graduation ratesNew Orleans2013,2012-2013,2013,06/01/2013 12:00:00 AM,New Orleans,4-year cohort graduation rates,73
4-year cohort graduation ratesNew Orleans2014,2013-2014,2014,06/01/2014 12:00:00 AM,New Orleans,4-year cohort graduation rates,73
