RowID,Date,Year,Location,IndicatorName,IndicatorValue,IndicatorID,IndicatorTable
Tampa. FL_respop72012_2012,01/01/2012 12:00:00 AM,2012,Tampa. FL,Population,1282032,respop72012,"Annual Estimates of the Resident Population: April 1, 2010 to July 1, 2014"
Tampa. FL_Calculation_2012,01/01/2012 12:00:00 AM,2012,Tampa. FL,Population growth,0.810870317365458,Calculation,"Annual Estimates of the Resident Population: April 1, 2010 to July 1, 2014"
Tampa. FL_respop72014_2014,01/01/2014 12:00:00 AM,2014,Tampa. FL,Population,1316298,respop72014,"Annual Estimates of the Resident Population: April 1, 2010 to July 1, 2014"
Tampa. FL_Calculation_2014,01/01/2014 12:00:00 AM,2014,Tampa. FL,Population growth,1.71178654632982,Calculation,"Annual Estimates of the Resident Population: April 1, 2010 to July 1, 2014"
Tampa. FL_respop72011_2011,01/01/2011 12:00:00 AM,2011,Tampa. FL,Population,1271720,respop72011,"Annual Estimates of the Resident Population: April 1, 2010 to July 1, 2014"
Tampa. FL_Calculation_2013,01/01/2013 12:00:00 AM,2013,Tampa. FL,Population growth,0.944828210216282,Calculation,"Annual Estimates of the Resident Population: April 1, 2010 to July 1, 2014"
Tampa. FL_respop72013_2013,01/01/2013 12:00:00 AM,2013,Tampa. FL,Population,1294145,respop72013,"Annual Estimates of the Resident Population: April 1, 2010 to July 1, 2014"
Tampa. FL_respop72010_2010,01/01/2010 12:00:00 AM,2010,Tampa. FL,Population,1234145,respop72010,"Annual Estimates of the Resident Population: April 1, 2010 to July 1, 2014"
Tampa. FL_Calculation_2011,01/01/2011 12:00:00 AM,2011,Tampa. FL,Population growth,3.04461793387325,Calculation,"Annual Estimates of the Resident Population: April 1, 2010 to July 1, 2014"
"Miami, FL_respop72012_2012",01/01/2012 12:00:00 AM,2012,"Miami, FL",Population,2610960,respop72012,"Annual Estimates of the Resident Population: April 1, 2010 to July 1, 2014"
"Miami, FL_Calculation_2012",01/01/2012 12:00:00 AM,2012,"Miami, FL",Population growth,1.20329499099971,Calculation,"Annual Estimates of the Resident Population: April 1, 2010 to July 1, 2014"
