RowID,Date,Year,Location,IndicatorName,IndicatorValue,IndicatorID,IndicatorID_old,IndicatorTable
"Miami, FL_B25070_002E_2007",01/01/2007 12:00:00 AM,2007,"Miami, FL",Renter households paying less than 10 percent of pre-tax income on housing,1653,B25070_002E,HD01_VD02,B25070. Gross rent as a percentage of household income in the past 12 months
"Miami, FL_B25070_003E_2007",01/01/2007 12:00:00 AM,2007,"Miami, FL",Renter households paying 10 to 14.9 percent of pre-tax income on housing,3248,B25070_003E,HD01_VD03,B25070. Gross rent as a percentage of household income in the past 12 months
"Miami, FL_B25070_007E_2007",01/01/2007 12:00:00 AM,2007,"Miami, FL",Renter households paying 30 to 34.9 percent of pre-tax income on housing,10402,B25070_007E,HD01_VD07,B25070. Gross rent as a percentage of household income in the past 12 months
"Miami, FL_B25070_005E_2007",01/01/2007 12:00:00 AM,2007,"Miami, FL",Renter households paying 20 to 24.9 percent of pre-tax income on housing,7681,B25070_005E,HD01_VD05,B25070. Gross rent as a percentage of household income in the past 12 months
"Miami, FL_B25070_008E_2007",01/01/2007 12:00:00 AM,2007,"Miami, FL",Renter households paying 35 to 39.9 percent of pre-tax income on housing,4289,B25070_008E,HD01_VD08,B25070. Gross rent as a percentage of household income in the past 12 months
"Miami, FL_B25070_011E_2007",01/01/2007 12:00:00 AM,2007,"Miami, FL",Renter households not computed,3707,B25070_011E,HD01_VD11,B25070. Gross rent as a percentage of household income in the past 12 months
"Miami, FL_B25070_009E_2007",01/01/2007 12:00:00 AM,2007,"Miami, FL",Renter households paying 40 to 49.9 percent of pre-tax income on housing,9079,B25070_009E,HD01_VD09,B25070. Gross rent as a percentage of household income in the past 12 months
"Miami, FL_B25070_010E_2007",01/01/2007 12:00:00 AM,2007,"Miami, FL",Renter households paying more than 50 percent of pre-tax income on housing,29143,B25070_010E,HD01_VD10,B25070. Gross rent as a percentage of household income in the past 12 months
"Miami, FL_Calculation: (B25070_008E+B25070_009E+B25070_010E)/(B25070_001E-B25070_011E)_2007",01/01/2007 12:00:00 AM,2007,"Miami, FL",Percent of renter households paying unaffordable housing cost,52,Calculation: (B25070_008E+B25070_009E+B25070_010E)/(B25070_001E-B25070_011E),Calculation: (HD01_VD08+HD01_VD09+HD01_VD10)/(HD01_VD01-HD01_VD11),B25070. Gross rent as a percentage of household income in the past 12 months
"Miami, FL_B25070_004E_2007",01/01/2007 12:00:00 AM,2007,"Miami, FL",Renter households paying 15 to 19.9 percent of pre-tax income on housing,5815,B25070_004E,HD01_VD04,B25070. Gross rent as a percentage of household income in the past 12 months
"Miami, FL_B25070_006E_2007",01/01/2007 12:00:00 AM,2007,"Miami, FL",Renter households paying 25 to 29.9 percent of pre-tax income on housing,10205,B25070_006E,HD01_VD06,B25070. Gross rent as a percentage of household income in the past 12 months
"Miami, FL_B25070_001E_2007",01/01/2007 12:00:00 AM,2007,"Miami, FL",Total renter households,85222,B25070_001E,HD01_VD01,B25070. Gross rent as a percentage of household income in the past 12 months
Tampa. FL_B25070_002E_2007,01/01/2007 12:00:00 AM,2007,Tampa. FL,Renter households paying less than 10 percent of pre-tax income on housing,890,B25070_002E,HD01_VD02,B25070. Gross rent as a percentage of household income in the past 12 months
Tampa. FL_B25070_003E_2007,01/01/2007 12:00:00 AM,2007,Tampa. FL,Renter households paying 10 to 14.9 percent of pre-tax income on housing,3427,B25070_003E,HD01_VD03,B25070. Gross rent as a percentage of household income in the past 12 months
Tampa. FL_B25070_007E_2007,01/01/2007 12:00:00 AM,2007,Tampa. FL,Renter households paying 30 to 34.9 percent of pre-tax income on housing,4672,B25070_007E,HD01_VD07,B25070. Gross rent as a percentage of household income in the past 12 months
