RowID,Date,Year,Location,IndicatorName,IndicatorValue,IndicatorID,IndicatorID_old,IndicatorTable
"Miami, FL_Calculation: (B08301_001E - B08301_003E - B08301_021E) / (B08301_001E -B08301_021E)_2007",01/01/2007 12:00:00 AM,2007,"Miami, FL","Percent of workers commuting to work by means other than driving alone, including carpooling, public transportation, biking, and walking",30,Calculation: (B08301_001E - B08301_003E - B08301_021E) / (B08301_001E -B08301_021E),HD01_calculation,B08301: Means of transportation to work
"Miami, FL_B08301_017E_2007",01/01/2007 12:00:00 AM,2007,"Miami, FL",Workers commuting to work by motorcycle,491,B08301_017E,HD01_VD17,B08301: Means of transportation to work
"Miami, FL_B08301_001E_2007",01/01/2007 12:00:00 AM,2007,"Miami, FL",Total workers 16 years and older,152887,B08301_001E,HD01_VD01,B08301: Means of transportation to work
"Miami, FL_B08301_004E_2007",01/01/2007 12:00:00 AM,2007,"Miami, FL","Workers commuting to work by carpool (car, truck, or van) ",14508,B08301_004E,HD01_VD04,B08301: Means of transportation to work
"Miami, FL_B08301_010E_2007",01/01/2007 12:00:00 AM,2007,"Miami, FL",Workers commuting to work by public transportation (excluding taxicab) ,19391,B08301_010E,HD01_VD10,B08301: Means of transportation to work
"Miami, FL_B08301_016E_2007",01/01/2007 12:00:00 AM,2007,"Miami, FL",Workers commuting to work by taxicab,389,B08301_016E,HD01_VD16,B08301: Means of transportation to work
"Miami, FL_B08301_018E_2007",01/01/2007 12:00:00 AM,2007,"Miami, FL",Workers commuting to work by bicycle,187,B08301_018E,HD01_VD18,B08301: Means of transportation to work
"Miami, FL_B08301_021E_2007",01/01/2007 12:00:00 AM,2007,"Miami, FL",Workers working at home,3544,B08301_021E,HD01_VD21,B08301: Means of transportation to work
"Miami, FL_B08301_003E_2007",01/01/2007 12:00:00 AM,2007,"Miami, FL","Workers commuting to work by driving alone (car, truck, or van) ",104853,B08301_003E,HD01_VD03,B08301: Means of transportation to work
"Miami, FL_B08301_019E_2007",01/01/2007 12:00:00 AM,2007,"Miami, FL",Workers commuting to work by walking,6269,B08301_019E,HD01_VD19,B08301: Means of transportation to work
"Miami, FL_B08301_020E_2007",01/01/2007 12:00:00 AM,2007,"Miami, FL",Workers commuting to work by other means,3255,B08301_020E,HD01_VD20,B08301: Means of transportation to work
Tampa. FL_Calculation: (B08301_001E - B08301_003E - B08301_021E) / (B08301_001E -B08301_021E)_2007,01/01/2007 12:00:00 AM,2007,Tampa. FL,"Percent of workers commuting to work by means other than driving alone, including carpooling, public transportation, biking, and walking",18,Calculation: (B08301_001E - B08301_003E - B08301_021E) / (B08301_001E -B08301_021E),HD01_calculation,B08301: Means of transportation to work
