RowID,Date,Year,Location,IndicatorName,IndicatorValue,IndicatorID,IndicatorID_old,IndicatorTable
"Miami, FL_B19013H_001E_2007",01/01/2007 12:00:00 AM,2007,"Miami, FL","Median household income in the past 12 months (White Alone, Not Hispanic or Latino Householder)",70911,B19013H_001E,HD01_VD01,"B19013H. Median Household Income (White Alone, Not Hispanic or Latino Householder)"
Tampa. FL_B19013H_001E_2007,01/01/2007 12:00:00 AM,2007,Tampa. FL,"Median household income in the past 12 months (White Alone, Not Hispanic or Latino Householder)",58884,B19013H_001E,HD01_VD01,"B19013H. Median Household Income (White Alone, Not Hispanic or Latino Householder)"
"Atlanta, GA_B19013H_001E_2007",01/01/2007 12:00:00 AM,2007,"Atlanta, GA","Median household income in the past 12 months (White Alone, Not Hispanic or Latino Householder)",79045,B19013H_001E,HD01_VD01,"B19013H. Median Household Income (White Alone, Not Hispanic or Latino Householder)"
"Louisville, KY_B19013H_001E_2007",01/01/2007 12:00:00 AM,2007,"Louisville, KY","Median household income in the past 12 months (White Alone, Not Hispanic or Latino Householder)",46677,B19013H_001E,HD01_VD01,"B19013H. Median Household Income (White Alone, Not Hispanic or Latino Householder)"
"Baton Rouge, LA_B19013H_001E_2007",01/01/2007 12:00:00 AM,2007,"Baton Rouge, LA","Median household income in the past 12 months (White Alone, Not Hispanic or Latino Householder)",47114,B19013H_001E,HD01_VD01,"B19013H. Median Household Income (White Alone, Not Hispanic or Latino Householder)"
"New Orleans, LA_B19013H_001E_2007",01/01/2007 12:00:00 AM,2007,"New Orleans, LA","Median household income in the past 12 months (White Alone, Not Hispanic or Latino Householder)",56622,B19013H_001E,HD01_VD01,"B19013H. Median Household Income (White Alone, Not Hispanic or Latino Householder)"
"Raleigh, NC_B19013H_001E_2007",01/01/2007 12:00:00 AM,2007,"Raleigh, NC","Median household income in the past 12 months (White Alone, Not Hispanic or Latino Householder)",63830,B19013H_001E,HD01_VD01,"B19013H. Median Household Income (White Alone, Not Hispanic or Latino Householder)"
"Oklahoma City, OK_B19013H_001E_2007",01/01/2007 12:00:00 AM,2007,"Oklahoma City, OK","Median household income in the past 12 months (White Alone, Not Hispanic or Latino Householder)",48970,B19013H_001E,HD01_VD01,"B19013H. Median Household Income (White Alone, Not Hispanic or Latino Householder)"
"Memphis, TN_B19013H_001E_2007",01/01/2007 12:00:00 AM,2007,"Memphis, TN","Median household income in the past 12 months (White Alone, Not Hispanic or Latino Householder)",48758,B19013H_001E,HD01_VD01,"B19013H. Median Household Income (White Alone, Not Hispanic or Latino Householder)"
"Nashville, TN_B19013H_001E_2007",01/01/2007 12:00:00 AM,2007,"Nashville, TN","Median household income in the past 12 months (White Alone, Not Hispanic or Latino Householder)",52031,B19013H_001E,HD01_VD01,"B19013H. Median Household Income (White Alone, Not Hispanic or Latino Householder)"
