RowID,Date,Year,Metro,State,Indicator,IndicatorValue
1,01/01/2006 12:00:00 AM,2006,New Orleans,LA,Tourists (in millions),3.7
2,01/01/2007 12:00:00 AM,2007,New Orleans,LA,Tourists (in millions),7.1
3,01/01/2008 12:00:00 AM,2008,New Orleans,LA,Tourists (in millions),7.6
4,01/01/2009 12:00:00 AM,2009,New Orleans,LA,Tourists (in millions),7.5
5,01/01/2010 12:00:00 AM,2010,New Orleans,LA,Tourists (in millions),8.3
6,01/01/2011 12:00:00 AM,2011,New Orleans,LA,Tourists (in millions),8.8
7,01/01/2012 12:00:00 AM,2012,New Orleans,LA,Tourists (in millions),9
8,01/01/2013 12:00:00 AM,2013,New Orleans,LA,Tourists (in millions),9.3
9,01/01/2014 12:00:00 AM,2014,New Orleans,LA,Tourists (in millions),9.5
10,01/01/2006 12:00:00 AM,2006,New Orleans,LA,Tourist spending (in billions),2.9
11,01/01/2007 12:00:00 AM,2007,New Orleans,LA,Tourist spending (in billions),4.8
12,01/01/2008 12:00:00 AM,2008,New Orleans,LA,Tourist spending (in billions),5.1
13,01/01/2009 12:00:00 AM,2009,New Orleans,LA,Tourist spending (in billions),4.3
14,01/01/2010 12:00:00 AM,2010,New Orleans,LA,Tourist spending (in billions),5.3
15,01/01/2011 12:00:00 AM,2011,New Orleans,LA,Tourist spending (in billions),5.5
16,01/01/2012 12:00:00 AM,2012,New Orleans,LA,Tourist spending (in billions),6.2
17,01/01/2013 12:00:00 AM,2013,New Orleans,LA,Tourist spending (in billions),6.5
18,01/01/2014 12:00:00 AM,2014,New Orleans,LA,Tourist spending (in billions),6.8
