RowID,Date,Year,Location,IndicatorName,IndicatorValue,IndicatorID,IndicatorID_old,IndicatorTable
"Miami, FL_B08303_002E_2007",01/01/2007 12:00:00 AM,2007,"Miami, FL",Workers traveling less than 5 minutes to work,2555.00,B08303_002E,HD01_VD02,B08303: Travel time to work
"Miami, FL_B08303_001E_2007",01/01/2007 12:00:00 AM,2007,"Miami, FL",Total workers 16 years and older,149343.00,B08303_001E,HD01_VD01,B08303: Travel time to work
"Miami, FL_Calculation:(B08303_002E+B08303_003E+B08303_004E+B08303_005E+B08303_006E+B08303_007E)/B08303_001E_2007",01/01/2007 12:00:00 AM,2007,"Miami, FL",Percent of workers traveling less than 30 minutes to work,56.49,Calculation:(B08303_002E+B08303_003E+B08303_004E+B08303_005E+B08303_006E+B08303_007E)/B08303_001E,Calculation:(HD01_VD02+HD01_VD03+HD01_VD04+HD01_VD05+HD01_VD06+HD01_VD07)/HD01_VD01,B08303: Travel time to work
"Miami, FL_B08303_004E_2007",01/01/2007 12:00:00 AM,2007,"Miami, FL",Workers traveling 10 to 14 minutes to work,15683.00,B08303_004E,HD01_VD04,B08303: Travel time to work
"Miami, FL_B08303_005E_2007",01/01/2007 12:00:00 AM,2007,"Miami, FL",Workers traveling 15 to 19 minutes to work,18558.00,B08303_005E,HD01_VD05,B08303: Travel time to work
"Miami, FL_B08303_009E_2007",01/01/2007 12:00:00 AM,2007,"Miami, FL",Workers traveling 35 to 39 minutes to work,5962.00,B08303_009E,HD01_VD09,B08303: Travel time to work
"Miami, FL_B08303_007E_2007",01/01/2007 12:00:00 AM,2007,"Miami, FL",Workers traveling 25 to 29 minutes to work,8845.00,B08303_007E,HD01_VD07,B08303: Travel time to work
"Miami, FL_B08303_008E_2007",01/01/2007 12:00:00 AM,2007,"Miami, FL",Workers traveling 30 to 34 minutes to work,23705.00,B08303_008E,HD01_VD08,B08303: Travel time to work
"Miami, FL_B08303_010E_2007",01/01/2007 12:00:00 AM,2007,"Miami, FL",Workers traveling 40 to 44 minutes to work,7541.00,B08303_010E,HD01_VD10,B08303: Travel time to work
"Miami, FL_B08303_012E_2007",01/01/2007 12:00:00 AM,2007,"Miami, FL",Workers traveling 60 to 89 minutes to work,10857.00,B08303_012E,HD01_VD12,B08303: Travel time to work
"Miami, FL_B08303_013E_2007",01/01/2007 12:00:00 AM,2007,"Miami, FL",Workers traveling more than 90 minutes to work,3689.00,B08303_013E,HD01_VD13,B08303: Travel time to work
"Miami, FL_Calculation:(B08303_004E+B08303_005E+B08303_006E+B08303_007E)/B08303_001E_2007",01/01/2007 12:00:00 AM,2007,"Miami, FL",Percent of workers traveling 10 to 29 minutes to work,48.48,Calculation:(B08303_004E+B08303_005E+B08303_006E+B08303_007E)/B08303_001E,Calculation:(HD01_VD04+HD01_VD05+HD01_VD06+HD01_VD07)/HD01_VD01,B08303: Travel time to work
"Miami, FL_Calculation:(B08303_008E+B08303_009E+B08303_010E+B08303_011E)/B08303_001E_2007",01/01/2007 12:00:00 AM,2007,"Miami, FL",Percent of workers traveling 30 to 59 minutes to work,33.77,Calculation:(B08303_008E+B08303_009E+B08303_010E+B08303_011E)/B08303_001E,Calculation:(HD01_VD08+HD01_VD09+HD01_VD10+HD01_VD11)/HD01_VD01,B08303: Travel time to work
"Miami, FL_B08303_011E_2007",01/01/2007 12:00:00 AM,2007,"Miami, FL",Workers traveling 45 to 59 minutes to work,13225.00,B08303_011E,HD01_VD11,B08303: Travel time to work
"Miami, FL_B08303_003E_2007",01/01/2007 12:00:00 AM,2007,"Miami, FL",Workers traveling 5 to 9 minutes to work,9410.00,B08303_003E,HD01_VD03,B08303: Travel time to work
"Miami, FL_Calculation:(B08303_012E+B08303_013E)/B08303_001E_2007",01/01/2007 12:00:00 AM,2007,"Miami, FL",Percent of workers traveling 60 minutes or more to work,9.74,Calculation:(B08303_012E+B08303_013E)/B08303_001E,Calculation:(HD01_VD12+HD01_VD13)/HD01_VD01,B08303: Travel time to work
"Miami, FL_B08303_006E_2007",01/01/2007 12:00:00 AM,2007,"Miami, FL",Workers traveling 20 to 24 minutes to work,29313.00,B08303_006E,HD01_VD06,B08303: Travel time to work
"Miami, FL_Calculation:(B08303_002E+B08303_003E)/B08303_001E_2007",01/01/2007 12:00:00 AM,2007,"Miami, FL",Percent of workers traveling 09 minutes or less to work,8.01,Calculation:(B08303_002E+B08303_003E)/B08303_001E,Calculation:(HD01_VD02+HD01_VD03)/HD01_VD01,B08303: Travel time to work
Tampa. FL_B08303_002E_2007,01/01/2007 12:00:00 AM,2007,Tampa. FL,Workers traveling less than 5 minutes to work,4975.00,B08303_002E,HD01_VD02,B08303: Travel time to work
Tampa. FL_B08303_001E_2007,01/01/2007 12:00:00 AM,2007,Tampa. FL,Total workers 16 years and older,142487.00,B08303_001E,HD01_VD01,B08303: Travel time to work
Tampa. FL_Calculation:(B08303_002E+B08303_003E+B08303_004E+B08303_005E+B08303_006E+B08303_007E)/B08303_001E_2007,01/01/2007 12:00:00 AM,2007,Tampa. FL,Percent of workers traveling less than 30 minutes to work,69.20,Calculation:(B08303_002E+B08303_003E+B08303_004E+B08303_005E+B08303_006E+B08303_007E)/B08303_001E,Calculation:(HD01_VD02+HD01_VD03+HD01_VD04+HD01_VD05+HD01_VD06+HD01_VD07)/HD01_VD01,B08303: Travel time to work
Tampa. FL_B08303_004E_2007,01/01/2007 12:00:00 AM,2007,Tampa. FL,Workers traveling 10 to 14 minutes to work,19821.00,B08303_004E,HD01_VD04,B08303: Travel time to work
Tampa. FL_B08303_005E_2007,01/01/2007 12:00:00 AM,2007,Tampa. FL,Workers traveling 15 to 19 minutes to work,24647.00,B08303_005E,HD01_VD05,B08303: Travel time to work
Tampa. FL_B08303_009E_2007,01/01/2007 12:00:00 AM,2007,Tampa. FL,Workers traveling 35 to 39 minutes to work,3026.00,B08303_009E,HD01_VD09,B08303: Travel time to work
Tampa. FL_B08303_007E_2007,01/01/2007 12:00:00 AM,2007,Tampa. FL,Workers traveling 25 to 29 minutes to work,9484.00,B08303_007E,HD01_VD07,B08303: Travel time to work
Tampa. FL_B08303_008E_2007,01/01/2007 12:00:00 AM,2007,Tampa. FL,Workers traveling 30 to 34 minutes to work,20959.00,B08303_008E,HD01_VD08,B08303: Travel time to work
Tampa. FL_B08303_010E_2007,01/01/2007 12:00:00 AM,2007,Tampa. FL,Workers traveling 40 to 44 minutes to work,3922.00,B08303_010E,HD01_VD10,B08303: Travel time to work
Tampa. FL_B08303_012E_2007,01/01/2007 12:00:00 AM,2007,Tampa. FL,Workers traveling 60 to 89 minutes to work,5757.00,B08303_012E,HD01_VD12,B08303: Travel time to work
Tampa. FL_B08303_013E_2007,01/01/2007 12:00:00 AM,2007,Tampa. FL,Workers traveling more than 90 minutes to work,2596.00,B08303_013E,HD01_VD13,B08303: Travel time to work
Tampa. FL_Calculation:(B08303_004E+B08303_005E+B08303_006E+B08303_007E)/B08303_001E_2007,01/01/2007 12:00:00 AM,2007,Tampa. FL,Percent of workers traveling 10 to 29 minutes to work,56.69,Calculation:(B08303_004E+B08303_005E+B08303_006E+B08303_007E)/B08303_001E,Calculation:(HD01_VD04+HD01_VD05+HD01_VD06+HD01_VD07)/HD01_VD01,B08303: Travel time to work
