RowID,Date,Month,Year,Location,IndicatorName,IndicatorValue
Unemployment rate (annual average)BenchmarkAverage20050101,01/01/2005,,2005,BenchmarkAverage,Unemployment rate (annual average),5.0%
Unemployment rate (annual average)BenchmarkAverage20060101,01/01/2006,,2006,BenchmarkAverage,Unemployment rate (annual average),4.3%
Unemployment rate (annual average)BenchmarkAverage20070101,01/01/2007,,2007,BenchmarkAverage,Unemployment rate (annual average),4.2%
Unemployment rate (annual average)BenchmarkAverage20080101,01/01/2008,,2008,BenchmarkAverage,Unemployment rate (annual average),5.5%
Unemployment rate (annual average)BenchmarkAverage20090101,01/01/2009,,2009,BenchmarkAverage,Unemployment rate (annual average),9.0%
Unemployment rate (annual average)BenchmarkAverage20100101,01/01/2010,,2010,BenchmarkAverage,Unemployment rate (annual average),9.1%
Unemployment rate (annual average)BenchmarkAverage20110101,01/01/2011,,2011,BenchmarkAverage,Unemployment rate (annual average),8.5%
Unemployment rate (annual average)BenchmarkAverage20120101,01/01/2012,,2012,BenchmarkAverage,Unemployment rate (annual average),7.4%
Unemployment rate (annual average)BenchmarkAverage20130101,01/01/2013,,2013,BenchmarkAverage,Unemployment rate (annual average),6.9%
Unemployment rate (annual average)BenchmarkAverage20140101,01/01/2014,,2014,BenchmarkAverage,Unemployment rate (annual average),6.0%
Unemployment rate (annual average)Davidson County20050101,01/01/2005,,2005,Davidson County,Unemployment rate (annual average),4.5%
Unemployment rate (annual average)Davidson County20060101,01/01/2006,,2006,Davidson County,Unemployment rate (annual average),4.2%
Unemployment rate (annual average)Davidson County20070101,01/01/2007,,2007,Davidson County,Unemployment rate (annual average),3.8%
Unemployment rate (annual average)Davidson County20080101,01/01/2008,,2008,Davidson County,Unemployment rate (annual average),5.4%
Unemployment rate (annual average)Davidson County20090101,01/01/2009,,2009,Davidson County,Unemployment rate (annual average),8.9%
Unemployment rate (annual average)Davidson County20100101,01/01/2010,,2010,Davidson County,Unemployment rate (annual average),8.2%
Unemployment rate (annual average)Davidson County20110101,01/01/2011,,2011,Davidson County,Unemployment rate (annual average),7.6%
Unemployment rate (annual average)Davidson County20120101,01/01/2012,,2012,Davidson County,Unemployment rate (annual average),6.2%
Unemployment rate (annual average)Davidson County20130101,01/01/2013,,2013,Davidson County,Unemployment rate (annual average),5.9%
Unemployment rate (annual average)Davidson County20140101,01/01/2014,,2014,Davidson County,Unemployment rate (annual average),5.1%
Unemployment rate (annual average)East Baton Rouge Parish20050101,01/01/2005,,2005,East Baton Rouge Parish,Unemployment rate (annual average),6.8%
Unemployment rate (annual average)East Baton Rouge Parish20060101,01/01/2006,,2006,East Baton Rouge Parish,Unemployment rate (annual average),4.4%
Unemployment rate (annual average)East Baton Rouge Parish20070101,01/01/2007,,2007,East Baton Rouge Parish,Unemployment rate (annual average),4.1%
Unemployment rate (annual average)East Baton Rouge Parish20080101,01/01/2008,,2008,East Baton Rouge Parish,Unemployment rate (annual average),4.7%
Unemployment rate (annual average)East Baton Rouge Parish20090101,01/01/2009,,2009,East Baton Rouge Parish,Unemployment rate (annual average),6.2%
Unemployment rate (annual average)East Baton Rouge Parish20100101,01/01/2010,,2010,East Baton Rouge Parish,Unemployment rate (annual average),7.6%
Unemployment rate (annual average)East Baton Rouge Parish20110101,01/01/2011,,2011,East Baton Rouge Parish,Unemployment rate (annual average),7.6%
Unemployment rate (annual average)East Baton Rouge Parish20120101,01/01/2012,,2012,East Baton Rouge Parish,Unemployment rate (annual average),6.8%
Unemployment rate (annual average)East Baton Rouge Parish20130101,01/01/2013,,2013,East Baton Rouge Parish,Unemployment rate (annual average),6.3%
Unemployment rate (annual average)East Baton Rouge Parish20140101,01/01/2014,,2014,East Baton Rouge Parish,Unemployment rate (annual average),5.8%
Unemployment rate (annual average)Fulton County20050101,01/01/2005,,2005,Fulton County,Unemployment rate (annual average),5.8%
Unemployment rate (annual average)Fulton County20060101,01/01/2006,,2006,Fulton County,Unemployment rate (annual average),5.0%
Unemployment rate (annual average)Fulton County20070101,01/01/2007,,2007,Fulton County,Unemployment rate (annual average),4.8%
Unemployment rate (annual average)Fulton County20080101,01/01/2008,,2008,Fulton County,Unemployment rate (annual average),6.4%
Unemployment rate (annual average)Fulton County20090101,01/01/2009,,2009,Fulton County,Unemployment rate (annual average),10.1%
Unemployment rate (annual average)Fulton County20100101,01/01/2010,,2010,Fulton County,Unemployment rate (annual average),10.4%
Unemployment rate (annual average)Fulton County20110101,01/01/2011,,2011,Fulton County,Unemployment rate (annual average),10.2%
Unemployment rate (annual average)Fulton County20120101,01/01/2012,,2012,Fulton County,Unemployment rate (annual average),9.1%
Unemployment rate (annual average)Fulton County20130101,01/01/2013,,2013,Fulton County,Unemployment rate (annual average),8.2%
Unemployment rate (annual average)Fulton County20140101,01/01/2014,,2014,Fulton County,Unemployment rate (annual average),7.2%
Unemployment rate (annual average)Hillsborough County20050101,01/01/2005,,2005,Hillsborough County,Unemployment rate (annual average),3.8%
Unemployment rate (annual average)Hillsborough County20060101,01/01/2006,,2006,Hillsborough County,Unemployment rate (annual average),3.3%
Unemployment rate (annual average)Hillsborough County20070101,01/01/2007,,2007,Hillsborough County,Unemployment rate (annual average),4.1%
Unemployment rate (annual average)Hillsborough County20080101,01/01/2008,,2008,Hillsborough County,Unemployment rate (annual average),6.5%
Unemployment rate (annual average)Hillsborough County20090101,01/01/2009,,2009,Hillsborough County,Unemployment rate (annual average),10.6%
Unemployment rate (annual average)Hillsborough County20100101,01/01/2010,,2010,Hillsborough County,Unemployment rate (annual average),10.7%
Unemployment rate (annual average)Hillsborough County20110101,01/01/2011,,2011,Hillsborough County,Unemployment rate (annual average),9.6%
Unemployment rate (annual average)Hillsborough County20120101,01/01/2012,,2012,Hillsborough County,Unemployment rate (annual average),8.0%
Unemployment rate (annual average)Hillsborough County20130101,01/01/2013,,2013,Hillsborough County,Unemployment rate (annual average),6.7%
Unemployment rate (annual average)Hillsborough County20140101,01/01/2014,,2014,Hillsborough County,Unemployment rate (annual average),5.8%
Unemployment rate (annual average)Jefferson County20050101,01/01/2005,,2005,Jefferson County,Unemployment rate (annual average),5.9%
Unemployment rate (annual average)Jefferson County20060101,01/01/2006,,2006,Jefferson County,Unemployment rate (annual average),5.7%
Unemployment rate (annual average)Jefferson County20070101,01/01/2007,,2007,Jefferson County,Unemployment rate (annual average),5.3%
Unemployment rate (annual average)Jefferson County20080101,01/01/2008,,2008,Jefferson County,Unemployment rate (annual average),6.3%
Unemployment rate (annual average)Jefferson County20090101,01/01/2009,,2009,Jefferson County,Unemployment rate (annual average),10.1%
Unemployment rate (annual average)Jefferson County20100101,01/01/2010,,2010,Jefferson County,Unemployment rate (annual average),10.0%
Unemployment rate (annual average)Jefferson County20110101,01/01/2011,,2011,Jefferson County,Unemployment rate (annual average),9.5%
Unemployment rate (annual average)Jefferson County20120101,01/01/2012,,2012,Jefferson County,Unemployment rate (annual average),8.0%
Unemployment rate (annual average)Jefferson County20130101,01/01/2013,,2013,Jefferson County,Unemployment rate (annual average),7.6%
Unemployment rate (annual average)Jefferson County20140101,01/01/2014,,2014,Jefferson County,Unemployment rate (annual average),6.1%
Unemployment rate (annual average)Miami-Dade County20050101,01/01/2005,,2005,Miami-Dade County,Unemployment rate (annual average),3.2%
Unemployment rate (annual average)Miami-Dade County20060101,01/01/2006,,2006,Miami-Dade County,Unemployment rate (annual average),2.8%
Unemployment rate (annual average)Miami-Dade County20070101,01/01/2007,,2007,Miami-Dade County,Unemployment rate (annual average),3.1%
Unemployment rate (annual average)Miami-Dade County20080101,01/01/2008,,2008,Miami-Dade County,Unemployment rate (annual average),4.8%
Unemployment rate (annual average)Miami-Dade County20090101,01/01/2009,,2009,Miami-Dade County,Unemployment rate (annual average),10.4%
Unemployment rate (annual average)Miami-Dade County20100101,01/01/2010,,2010,Miami-Dade County,Unemployment rate (annual average),11.1%
Unemployment rate (annual average)Miami-Dade County20110101,01/01/2011,,2011,Miami-Dade County,Unemployment rate (annual average),9.4%
Unemployment rate (annual average)Miami-Dade County20120101,01/01/2012,,2012,Miami-Dade County,Unemployment rate (annual average),8.3%
Unemployment rate (annual average)Miami-Dade County20130101,01/01/2013,,2013,Miami-Dade County,Unemployment rate (annual average),7.6%
Unemployment rate (annual average)Miami-Dade County20140101,01/01/2014,,2014,Miami-Dade County,Unemployment rate (annual average),6.8%
Unemployment rate (annual average)Oklahoma County20050101,01/01/2005,,2005,Oklahoma County,Unemployment rate (annual average),4.6%
Unemployment rate (annual average)Oklahoma County20060101,01/01/2006,,2006,Oklahoma County,Unemployment rate (annual average),4.2%
Unemployment rate (annual average)Oklahoma County20070101,01/01/2007,,2007,Oklahoma County,Unemployment rate (annual average),4.4%
Unemployment rate (annual average)Oklahoma County20080101,01/01/2008,,2008,Oklahoma County,Unemployment rate (annual average),3.9%
Unemployment rate (annual average)Oklahoma County20090101,01/01/2009,,2009,Oklahoma County,Unemployment rate (annual average),6.1%
Unemployment rate (annual average)Oklahoma County20100101,01/01/2010,,2010,Oklahoma County,Unemployment rate (annual average),6.2%
Unemployment rate (annual average)Oklahoma County20110101,01/01/2011,,2011,Oklahoma County,Unemployment rate (annual average),5.3%
Unemployment rate (annual average)Oklahoma County20120101,01/01/2012,,2012,Oklahoma County,Unemployment rate (annual average),4.8%
Unemployment rate (annual average)Oklahoma County20130101,01/01/2013,,2013,Oklahoma County,Unemployment rate (annual average),4.9%
Unemployment rate (annual average)Oklahoma County20140101,01/01/2014,,2014,Oklahoma County,Unemployment rate (annual average),4.2%
Unemployment rate (annual average)Orleans Parish20050101,01/01/2005,,2005,Orleans Parish,Unemployment rate (annual average),6.4%
Unemployment rate (annual average)Orleans Parish20060101,01/01/2006,,2006,Orleans Parish,Unemployment rate (annual average),5.6%
Unemployment rateDavidson County20140701,07/01/2014,July,2014,Davidson County,Unemployment rate,5.7%
Unemployment rate (annual average)Orleans Parish20070101,01/01/2007,,2007,Orleans Parish,Unemployment rate (annual average),5.1%
Unemployment rate (annual average)Orleans Parish20080101,01/01/2008,,2008,Orleans Parish,Unemployment rate (annual average),6.0%
Unemployment rate (annual average)Orleans Parish20090101,01/01/2009,,2009,Orleans Parish,Unemployment rate (annual average),7.9%
Unemployment rate (annual average)Orleans Parish20100101,01/01/2010,,2010,Orleans Parish,Unemployment rate (annual average),8.7%
Unemployment rate (annual average)Orleans Parish20110101,01/01/2011,,2011,Orleans Parish,Unemployment rate (annual average),8.7%
Unemployment rate (annual average)Orleans Parish20120101,01/01/2012,,2012,Orleans Parish,Unemployment rate (annual average),8.0%
Unemployment rate (annual average)Orleans Parish20130101,01/01/2013,,2013,Orleans Parish,Unemployment rate (annual average),7.4%
Unemployment rate (annual average)Orleans Parish20140101,01/01/2014,,2014,Orleans Parish,Unemployment rate (annual average),7.0%
Unemployment rate (annual average)Shelby County20050101,01/01/2005,,2005,Shelby County,Unemployment rate (annual average),6.2%
Unemployment rate (annual average)Shelby County20060101,01/01/2006,,2006,Shelby County,Unemployment rate (annual average),5.8%
Unemployment rate (annual average)Shelby County20070101,01/01/2007,,2007,Shelby County,Unemployment rate (annual average),5.0%
Unemployment rate (annual average)Shelby County20080101,01/01/2008,,2008,Shelby County,Unemployment rate (annual average),6.9%
Unemployment rate (annual average)Shelby County20090101,01/01/2009,,2009,Shelby County,Unemployment rate (annual average),10.1%
Unemployment rate (annual average)Shelby County20100101,01/01/2010,,2010,Shelby County,Unemployment rate (annual average),9.8%
Unemployment rate (annual average)Shelby County20110101,01/01/2011,,2011,Shelby County,Unemployment rate (annual average),9.5%
Unemployment rate (annual average)Shelby County20120101,01/01/2012,,2012,Shelby County,Unemployment rate (annual average),8.6%
Unemployment rate (annual average)Shelby County20130101,01/01/2013,,2013,Shelby County,Unemployment rate (annual average),8.9%
Unemployment rate (annual average)Shelby County20140101,01/01/2014,,2014,Shelby County,Unemployment rate (annual average),7.8%
Unemployment rate (annual average)Wake County20050101,01/01/2005,,2005,Wake County,Unemployment rate (annual average),4.1%
Unemployment rate (annual average)Wake County20060101,01/01/2006,,2006,Wake County,Unemployment rate (annual average),3.6%
Unemployment rate (annual average)Wake County20070101,01/01/2007,,2007,Wake County,Unemployment rate (annual average),3.5%
Unemployment rate (annual average)Wake County20080101,01/01/2008,,2008,Wake County,Unemployment rate (annual average),4.6%
