RowID,County-Parish,State,Indicator,Date,Year,IndicatorValue
Wake County2003,Wake County,NC,"Percent of days with ""good"" or ""moderate"" air quality",01/01/2003 12:00:00 AM,2003,95.6
Shelby County2003,Shelby County,TN,"Percent of days with ""good"" or ""moderate"" air quality",01/01/2003 12:00:00 AM,2003,86.9
Orleans Parish2003,Orleans Parish,LA,"Percent of days with ""good"" or ""moderate"" air quality",01/01/2003 12:00:00 AM,2003,99.5
Oklahoma County2003,Oklahoma County,OK,"Percent of days with ""good"" or ""moderate"" air quality",01/01/2003 12:00:00 AM,2003,95.1
Miami-Dade County2003,Miami-Dade County,LF,"Percent of days with ""good"" or ""moderate"" air quality",01/01/2003 12:00:00 AM,2003,99.2
Jefferson County2003,Jefferson County,KY,"Percent of days with ""good"" or ""moderate"" air quality",01/01/2003 12:00:00 AM,2003,81.6
Hillsborough County2003,Hillsborough County,FL,"Percent of days with ""good"" or ""moderate"" air quality",01/01/2003 12:00:00 AM,2003,75.3
Fulton County2003,Fulton County,GA,"Percent of days with ""good"" or ""moderate"" air quality",01/01/2003 12:00:00 AM,2003,88.2
East Baton Rouge Parish2003,East Baton Rouge Parish,LA,"Percent of days with ""good"" or ""moderate"" air quality",01/01/2003 12:00:00 AM,2003,93.4
Davidson County2003,Davidson County,TN,"Percent of days with ""good"" or ""moderate"" air quality",01/01/2003 12:00:00 AM,2003,92.6
Benchmark Average2003,Benchmark Average,,"Percent of days with ""good"" or ""moderate"" air quality",01/01/2003 12:00:00 AM,2003,89.6
Wake County2004,Wake County,NC,"Percent of days with ""good"" or ""moderate"" air quality",01/01/2004 12:00:00 AM,2004,96.7
Shelby County2004,Shelby County,TN,"Percent of days with ""good"" or ""moderate"" air quality",01/01/2004 12:00:00 AM,2004,93.7
Orleans Parish2004,Orleans Parish,LA,"Percent of days with ""good"" or ""moderate"" air quality",01/01/2004 12:00:00 AM,2004,99.2
Oklahoma County2004,Oklahoma County,OK,"Percent of days with ""good"" or ""moderate"" air quality",01/01/2004 12:00:00 AM,2004,98.4
Miami-Dade County2004,Miami-Dade County,LF,"Percent of days with ""good"" or ""moderate"" air quality",01/01/2004 12:00:00 AM,2004,98.1
Jefferson County2004,Jefferson County,KY,"Percent of days with ""good"" or ""moderate"" air quality",01/01/2004 12:00:00 AM,2004,81.1
Hillsborough County2004,Hillsborough County,FL,"Percent of days with ""good"" or ""moderate"" air quality",01/01/2004 12:00:00 AM,2004,85.5
Fulton County2004,Fulton County,GA,"Percent of days with ""good"" or ""moderate"" air quality",01/01/2004 12:00:00 AM,2004,87.7
East Baton Rouge Parish2004,East Baton Rouge Parish,LA,"Percent of days with ""good"" or ""moderate"" air quality",01/01/2004 12:00:00 AM,2004,92.9
Davidson County2004,Davidson County,TN,"Percent of days with ""good"" or ""moderate"" air quality",01/01/2004 12:00:00 AM,2004,97.8
Benchmark Average2004,Benchmark Average,,"Percent of days with ""good"" or ""moderate"" air quality",01/01/2004 12:00:00 AM,2004,92.3
Wake County2005,Wake County,NC,"Percent of days with ""good"" or ""moderate"" air quality",01/01/2005 12:00:00 AM,2005,92.1
Shelby County2005,Shelby County,TN,"Percent of days with ""good"" or ""moderate"" air quality",01/01/2005 12:00:00 AM,2005,79.7
Orleans Parish2005,Orleans Parish,LA,"Percent of days with ""good"" or ""moderate"" air quality",01/01/2005 12:00:00 AM,2005,99
Oklahoma County2005,Oklahoma County,OK,"Percent of days with ""good"" or ""moderate"" air quality",01/01/2005 12:00:00 AM,2005,95.3
Miami-Dade County2005,Miami-Dade County,LF,"Percent of days with ""good"" or ""moderate"" air quality",01/01/2005 12:00:00 AM,2005,99.7
Jefferson County2005,Jefferson County,KY,"Percent of days with ""good"" or ""moderate"" air quality",01/01/2005 12:00:00 AM,2005,75.1
Hillsborough County2005,Hillsborough County,FL,"Percent of days with ""good"" or ""moderate"" air quality",01/01/2005 12:00:00 AM,2005,84.7
Fulton County2005,Fulton County,GA,"Percent of days with ""good"" or ""moderate"" air quality",01/01/2005 12:00:00 AM,2005,84.1
East Baton Rouge Parish2005,East Baton Rouge Parish,LA,"Percent of days with ""good"" or ""moderate"" air quality",01/01/2005 12:00:00 AM,2005,91.5
Davidson County2005,Davidson County,TN,"Percent of days with ""good"" or ""moderate"" air quality",01/01/2005 12:00:00 AM,2005,90.1
Benchmark Average2005,Benchmark Average,,"Percent of days with ""good"" or ""moderate"" air quality",01/01/2005 12:00:00 AM,2005,87.8
Wake County2006,Wake County,NC,"Percent of days with ""good"" or ""moderate"" air quality",01/01/2006 12:00:00 AM,2006,97.5
Shelby County2006,Shelby County,TN,"Percent of days with ""good"" or ""moderate"" air quality",01/01/2006 12:00:00 AM,2006,91
Orleans Parish2006,Orleans Parish,LA,"Percent of days with ""good"" or ""moderate"" air quality",01/01/2006 12:00:00 AM,2006,99.6
Oklahoma County2006,Oklahoma County,OK,"Percent of days with ""good"" or ""moderate"" air quality",01/01/2006 12:00:00 AM,2006,91.5
Miami-Dade County2006,Miami-Dade County,LF,"Percent of days with ""good"" or ""moderate"" air quality",01/01/2006 12:00:00 AM,2006,98.4
Jefferson County2006,Jefferson County,KY,"Percent of days with ""good"" or ""moderate"" air quality",01/01/2006 12:00:00 AM,2006,92
Hillsborough County2006,Hillsborough County,FL,"Percent of days with ""good"" or ""moderate"" air quality",01/01/2006 12:00:00 AM,2006,90.4
Fulton County2006,Fulton County,GA,"Percent of days with ""good"" or ""moderate"" air quality",01/01/2006 12:00:00 AM,2006,90.1
East Baton Rouge Parish2006,East Baton Rouge Parish,LA,"Percent of days with ""good"" or ""moderate"" air quality",01/01/2006 12:00:00 AM,2006,92.9
Davidson County2006,Davidson County,TN,"Percent of days with ""good"" or ""moderate"" air quality",01/01/2006 12:00:00 AM,2006,97.5
Benchmark Average2006,Benchmark Average,,"Percent of days with ""good"" or ""moderate"" air quality",01/01/2006 12:00:00 AM,2006,93.1
Wake County2007,Wake County,NC,"Percent of days with ""good"" or ""moderate"" air quality",01/01/2007 12:00:00 AM,2007,97.5
Shelby County2007,Shelby County,TN,"Percent of days with ""good"" or ""moderate"" air quality",01/01/2007 12:00:00 AM,2007,97.5
Orleans Parish2007,Orleans Parish,LA,"Percent of days with ""good"" or ""moderate"" air quality",01/01/2007 12:00:00 AM,2007,100
Oklahoma County2007,Oklahoma County,OK,"Percent of days with ""good"" or ""moderate"" air quality",01/01/2007 12:00:00 AM,2007,98.9
Miami-Dade County2007,Miami-Dade County,LF,"Percent of days with ""good"" or ""moderate"" air quality",01/01/2007 12:00:00 AM,2007,98.6
Jefferson County2007,Jefferson County,KY,"Percent of days with ""good"" or ""moderate"" air quality",01/01/2007 12:00:00 AM,2007,91.3
Hillsborough County2007,Hillsborough County,FL,"Percent of days with ""good"" or ""moderate"" air quality",01/01/2007 12:00:00 AM,2007,94.8
Fulton County2007,Fulton County,GA,"Percent of days with ""good"" or ""moderate"" air quality",01/01/2007 12:00:00 AM,2007,95.1
East Baton Rouge Parish2007,East Baton Rouge Parish,LA,"Percent of days with ""good"" or ""moderate"" air quality",01/01/2007 12:00:00 AM,2007,98.1
Davidson County2007,Davidson County,TN,"Percent of days with ""good"" or ""moderate"" air quality",01/01/2007 12:00:00 AM,2007,98.9
Benchmark Average2007,Benchmark Average,,"Percent of days with ""good"" or ""moderate"" air quality",01/01/2007 12:00:00 AM,2007,96.5
Wake County2008,Wake County,NC,"Percent of days with ""good"" or ""moderate"" air quality",01/01/2008 12:00:00 AM,2008,97.5
Shelby County2008,Shelby County,TN,"Percent of days with ""good"" or ""moderate"" air quality",01/01/2008 12:00:00 AM,2008,97.5
Orleans Parish2008,Orleans Parish,LA,"Percent of days with ""good"" or ""moderate"" air quality",01/01/2008 12:00:00 AM,2008,99.7
Oklahoma County2008,Oklahoma County,OK,"Percent of days with ""good"" or ""moderate"" air quality",01/01/2008 12:00:00 AM,2008,98.9
Miami-Dade County2008,Miami-Dade County,LF,"Percent of days with ""good"" or ""moderate"" air quality",01/01/2008 12:00:00 AM,2008,98.6
Jefferson County2008,Jefferson County,KY,"Percent of days with ""good"" or ""moderate"" air quality",01/01/2008 12:00:00 AM,2008,91.3
Hillsborough County2008,Hillsborough County,FL,"Percent of days with ""good"" or ""moderate"" air quality",01/01/2008 12:00:00 AM,2008,94.8
Fulton County2008,Fulton County,GA,"Percent of days with ""good"" or ""moderate"" air quality",01/01/2008 12:00:00 AM,2008,95.1
East Baton Rouge Parish2008,East Baton Rouge Parish,LA,"Percent of days with ""good"" or ""moderate"" air quality",01/01/2008 12:00:00 AM,2008,98.1
Davidson County2008,Davidson County,TN,"Percent of days with ""good"" or ""moderate"" air quality",01/01/2008 12:00:00 AM,2008,98.9
Benchmark Average2008,Benchmark Average,,"Percent of days with ""good"" or ""moderate"" air quality",01/01/2008 12:00:00 AM,2008,96.5
Wake County2009,Wake County,NC,"Percent of days with ""good"" or ""moderate"" air quality",01/01/2009 12:00:00 AM,2009,100
Shelby County2009,Shelby County,TN,"Percent of days with ""good"" or ""moderate"" air quality",01/01/2009 12:00:00 AM,2009,99.7
Orleans Parish2009,Orleans Parish,LA,"Percent of days with ""good"" or ""moderate"" air quality",01/01/2009 12:00:00 AM,2009,99.7
Oklahoma County2009,Oklahoma County,OK,"Percent of days with ""good"" or ""moderate"" air quality",01/01/2009 12:00:00 AM,2009,98.6
Miami-Dade County2009,Miami-Dade County,LF,"Percent of days with ""good"" or ""moderate"" air quality",01/01/2009 12:00:00 AM,2009,99.7
Jefferson County2009,Jefferson County,KY,"Percent of days with ""good"" or ""moderate"" air quality",01/01/2009 12:00:00 AM,2009,95.1
Hillsborough County2009,Hillsborough County,FL,"Percent of days with ""good"" or ""moderate"" air quality",01/01/2009 12:00:00 AM,2009,95.6
Fulton County2009,Fulton County,GA,"Percent of days with ""good"" or ""moderate"" air quality",01/01/2009 12:00:00 AM,2009,98.4
East Baton Rouge Parish2009,East Baton Rouge Parish,LA,"Percent of days with ""good"" or ""moderate"" air quality",01/01/2009 12:00:00 AM,2009,95.9
Davidson County2009,Davidson County,TN,"Percent of days with ""good"" or ""moderate"" air quality",01/01/2009 12:00:00 AM,2009,100
Benchmark Average2009,Benchmark Average,,"Percent of days with ""good"" or ""moderate"" air quality",01/01/2009 12:00:00 AM,2009,97.6
Wake County2010,Wake County,NC,"Percent of days with ""good"" or ""moderate"" air quality",01/01/2010 12:00:00 AM,2010,99.2
Shelby County2010,Shelby County,TN,"Percent of days with ""good"" or ""moderate"" air quality",01/01/2010 12:00:00 AM,2010,98.1
Orleans Parish2010,Orleans Parish,LA,"Percent of days with ""good"" or ""moderate"" air quality",01/01/2010 12:00:00 AM,2010,99.7
Oklahoma County2010,Oklahoma County,OK,"Percent of days with ""good"" or ""moderate"" air quality",01/01/2010 12:00:00 AM,2010,99.2
Miami-Dade County2010,Miami-Dade County,LF,"Percent of days with ""good"" or ""moderate"" air quality",01/01/2010 12:00:00 AM,2010,99.5
Jefferson County2010,Jefferson County,KY,"Percent of days with ""good"" or ""moderate"" air quality",01/01/2010 12:00:00 AM,2010,89
Hillsborough County2010,Hillsborough County,FL,"Percent of days with ""good"" or ""moderate"" air quality",01/01/2010 12:00:00 AM,2010,96.7
Fulton County2010,Fulton County,GA,"Percent of days with ""good"" or ""moderate"" air quality",01/01/2010 12:00:00 AM,2010,97
East Baton Rouge Parish2010,East Baton Rouge Parish,LA,"Percent of days with ""good"" or ""moderate"" air quality",01/01/2010 12:00:00 AM,2010,97.3
Davidson County2010,Davidson County,TN,"Percent of days with ""good"" or ""moderate"" air quality",01/01/2010 12:00:00 AM,2010,99.7
Benchmark Average2010,Benchmark Average,,"Percent of days with ""good"" or ""moderate"" air quality",01/01/2010 12:00:00 AM,2010,97.2
Wake County2011,Wake County,NC,"Percent of days with ""good"" or ""moderate"" air quality",01/01/2011 12:00:00 AM,2011,98.4
Shelby County2011,Shelby County,TN,"Percent of days with ""good"" or ""moderate"" air quality",01/01/2011 12:00:00 AM,2011,95.9
Orleans Parish2011,Orleans Parish,LA,"Percent of days with ""good"" or ""moderate"" air quality",01/01/2011 12:00:00 AM,2011,99.7
Oklahoma County2011,Oklahoma County,OK,"Percent of days with ""good"" or ""moderate"" air quality",01/01/2011 12:00:00 AM,2011,93.2
Miami-Dade County2011,Miami-Dade County,LF,"Percent of days with ""good"" or ""moderate"" air quality",01/01/2011 12:00:00 AM,2011,98.9
Jefferson County2011,Jefferson County,KY,"Percent of days with ""good"" or ""moderate"" air quality",01/01/2011 12:00:00 AM,2011,93.4
