Row_ID,Year,Date,Parish,Very_good,Good,Fair,Poor,Very_poor,Total_VeryGood_Good_Fair
Orleans2006,2006,01/01/2006 12:00:00 AM,Orleans,4,17,24,31,20,45
Jefferson2006,2006,01/01/2006 12:00:00 AM,Jefferson,18,31,27,15,7,76
Orleans2007,2007,01/01/2007 12:00:00 AM,Orleans,2,10,24,41,19,36
Jefferson2007,2007,01/01/2007 12:00:00 AM,Jefferson,13,39,24,14,5,76
Orleans2008,2008,01/01/2008 12:00:00 AM,Orleans,8,18,32,24,14,58
Jefferson2008,2008,01/01/2008 12:00:00 AM,Jefferson,24,42,21,9,1,87
Orleans2012,2012,01/01/2012 12:00:00 AM,Orleans,3,24,32,27,10,59
Jefferson2012,2012,01/01/2012 12:00:00 AM,Jefferson,16,53,19,5,1,88
Orleans2013,2013,01/01/2013 12:00:00 AM,Orleans,3,22,39,23,7,64
Jefferson2013,2013,01/01/2013 12:00:00 AM,Jefferson,12,49,20,11,2,81
