RowID,Date,Year,Location,IndicatorName,IndicatorValue
"Orleans Parish, LALife expectancy, male1999",01/01/1999 12:00:00 AM,1999,"Orleans Parish, LA","Life expectancy, male",67.7
"Davidson County, TNLife expectancy, male1999",01/01/1999 12:00:00 AM,1999,"Davidson County, TN","Life expectancy, male",71.4
"East Baton Rouge Parish, LALife expectancy, male1999",01/01/1999 12:00:00 AM,1999,"East Baton Rouge Parish, LA","Life expectancy, male",71.8
"Fulton County, GALife expectancy, male1999",01/01/1999 12:00:00 AM,1999,"Fulton County, GA","Life expectancy, male",70.6
"Hillsborough County, FLLife expectancy, male1999",01/01/1999 12:00:00 AM,1999,"Hillsborough County, FL","Life expectancy, male",73
"Jefferson County, KYLife expectancy, male1999",01/01/1999 12:00:00 AM,1999,"Jefferson County, KY","Life expectancy, male",72.2
"Miami-Dade County, FLLife expectancy, male1999",01/01/1999 12:00:00 AM,1999,"Miami-Dade County, FL","Life expectancy, male",74.4
"Oklahoma County, OKLife expectancy, male1999",01/01/1999 12:00:00 AM,1999,"Oklahoma County, OK","Life expectancy, male",71.4
"Shelby County, TNLife expectancy, male1999",01/01/1999 12:00:00 AM,1999,"Shelby County, TN","Life expectancy, male",69.9
"Wake County, NCLife expectancy, male1999",01/01/1999 12:00:00 AM,1999,"Wake County, NC","Life expectancy, male",75.4
"Benchmark AverageLife expectancy, male1999",01/01/1999 12:00:00 AM,1999,Benchmark Average,"Life expectancy, male",72.2
"Orleans Parish, LALife expectancy, female1999",01/01/1999 12:00:00 AM,1999,"Orleans Parish, LA","Life expectancy, female",75.8
"Davidson County, TNLife expectancy, female1999",01/01/1999 12:00:00 AM,1999,"Davidson County, TN","Life expectancy, female",77.7
"East Baton Rouge Parish, LALife expectancy, female1999",01/01/1999 12:00:00 AM,1999,"East Baton Rouge Parish, LA","Life expectancy, female",77.3
"Fulton County, GALife expectancy, female1999",01/01/1999 12:00:00 AM,1999,"Fulton County, GA","Life expectancy, female",76.9
"Hillsborough County, FLLife expectancy, female1999",01/01/1999 12:00:00 AM,1999,"Hillsborough County, FL","Life expectancy, female",78.6
"Jefferson County, KYLife expectancy, female1999",01/01/1999 12:00:00 AM,1999,"Jefferson County, KY","Life expectancy, female",77.9
"Miami-Dade County, FLLife expectancy, female1999",01/01/1999 12:00:00 AM,1999,"Miami-Dade County, FL","Life expectancy, female",80.2
"Oklahoma County, OKLife expectancy, female1999",01/01/1999 12:00:00 AM,1999,"Oklahoma County, OK","Life expectancy, female",77.1
"Shelby County, TNLife expectancy, female1999",01/01/1999 12:00:00 AM,1999,"Shelby County, TN","Life expectancy, female",76.1
"Wake County, NCLife expectancy, female1999",01/01/1999 12:00:00 AM,1999,"Wake County, NC","Life expectancy, female",80.1
"Benchmark AverageLife expectancy, female1999",01/01/1999 12:00:00 AM,1999,Benchmark Average,"Life expectancy, female",78
"Orleans Parish, LALife expectancy, male2000",01/01/2000 12:00:00 AM,2000,"Orleans Parish, LA","Life expectancy, male",67.9
"Davidson County, TNLife expectancy, male2000",01/01/2000 12:00:00 AM,2000,"Davidson County, TN","Life expectancy, male",71.6
"East Baton Rouge Parish, LALife expectancy, male2000",01/01/2000 12:00:00 AM,2000,"East Baton Rouge Parish, LA","Life expectancy, male",72.1
"Fulton County, GALife expectancy, male2000",01/01/2000 12:00:00 AM,2000,"Fulton County, GA","Life expectancy, male",71
"Hillsborough County, FLLife expectancy, male2000",01/01/2000 12:00:00 AM,2000,"Hillsborough County, FL","Life expectancy, male",73
"Jefferson County, KYLife expectancy, male2000",01/01/2000 12:00:00 AM,2000,"Jefferson County, KY","Life expectancy, male",72.2
"Miami-Dade County, FLLife expectancy, male2000",01/01/2000 12:00:00 AM,2000,"Miami-Dade County, FL","Life expectancy, male",74.6
"Oklahoma County, OKLife expectancy, male2000",01/01/2000 12:00:00 AM,2000,"Oklahoma County, OK","Life expectancy, male",71.7
"Shelby County, TNLife expectancy, male2000",01/01/2000 12:00:00 AM,2000,"Shelby County, TN","Life expectancy, male",70
"Wake County, NCLife expectancy, male2000",01/01/2000 12:00:00 AM,2000,"Wake County, NC","Life expectancy, male",75.9
"Benchmark AverageLife expectancy, male2000",01/01/2000 12:00:00 AM,2000,Benchmark Average,"Life expectancy, male",72.5
"Orleans Parish, LALife expectancy, female2000",01/01/2000 12:00:00 AM,2000,"Orleans Parish, LA","Life expectancy, female",75.7
"Davidson County, TNLife expectancy, female2000",01/01/2000 12:00:00 AM,2000,"Davidson County, TN","Life expectancy, female",77.7
"East Baton Rouge Parish, LALife expectancy, female2000",01/01/2000 12:00:00 AM,2000,"East Baton Rouge Parish, LA","Life expectancy, female",77.3
"Fulton County, GALife expectancy, female2000",01/01/2000 12:00:00 AM,2000,"Fulton County, GA","Life expectancy, female",77.1
"Hillsborough County, FLLife expectancy, female2000",01/01/2000 12:00:00 AM,2000,"Hillsborough County, FL","Life expectancy, female",78.6
"Jefferson County, KYLife expectancy, female2000",01/01/2000 12:00:00 AM,2000,"Jefferson County, KY","Life expectancy, female",77.8
"Miami-Dade County, FLLife expectancy, female2000",01/01/2000 12:00:00 AM,2000,"Miami-Dade County, FL","Life expectancy, female",80.5
"Oklahoma County, OKLife expectancy, female2000",01/01/2000 12:00:00 AM,2000,"Oklahoma County, OK","Life expectancy, female",77
"Shelby County, TNLife expectancy, female2000",01/01/2000 12:00:00 AM,2000,"Shelby County, TN","Life expectancy, female",76.2
"Wake County, NCLife expectancy, female2000",01/01/2000 12:00:00 AM,2000,"Wake County, NC","Life expectancy, female",80.2
"Benchmark AverageLife expectancy, female2000",01/01/2000 12:00:00 AM,2000,Benchmark Average,"Life expectancy, female",78
"Orleans Parish, LALife expectancy, male2001",01/01/2001 12:00:00 AM,2001,"Orleans Parish, LA","Life expectancy, male",68
"Davidson County, TNLife expectancy, male2001",01/01/2001 12:00:00 AM,2001,"Davidson County, TN","Life expectancy, male",71.6
"East Baton Rouge Parish, LALife expectancy, male2001",01/01/2001 12:00:00 AM,2001,"East Baton Rouge Parish, LA","Life expectancy, male",72
"Fulton County, GALife expectancy, male2001",01/01/2001 12:00:00 AM,2001,"Fulton County, GA","Life expectancy, male",71.2
"Hillsborough County, FLLife expectancy, male2001",01/01/2001 12:00:00 AM,2001,"Hillsborough County, FL","Life expectancy, male",73.1
"Jefferson County, KYLife expectancy, male2001",01/01/2001 12:00:00 AM,2001,"Jefferson County, KY","Life expectancy, male",72.3
"Miami-Dade County, FLLife expectancy, male2001",01/01/2001 12:00:00 AM,2001,"Miami-Dade County, FL","Life expectancy, male",74.8
"Oklahoma County, OKLife expectancy, male2001",01/01/2001 12:00:00 AM,2001,"Oklahoma County, OK","Life expectancy, male",72
"Shelby County, TNLife expectancy, male2001",01/01/2001 12:00:00 AM,2001,"Shelby County, TN","Life expectancy, male",70.3
"Wake County, NCLife expectancy, male2001",01/01/2001 12:00:00 AM,2001,"Wake County, NC","Life expectancy, male",76
"Benchmark AverageLife expectancy, male2001",01/01/2001 12:00:00 AM,2001,Benchmark Average,"Life expectancy, male",72.6
"Orleans Parish, LALife expectancy, female2001",01/01/2001 12:00:00 AM,2001,"Orleans Parish, LA","Life expectancy, female",75.8
"Davidson County, TNLife expectancy, female2001",01/01/2001 12:00:00 AM,2001,"Davidson County, TN","Life expectancy, female",77.5
"East Baton Rouge Parish, LALife expectancy, female2001",01/01/2001 12:00:00 AM,2001,"East Baton Rouge Parish, LA","Life expectancy, female",77.3
"Fulton County, GALife expectancy, female2001",01/01/2001 12:00:00 AM,2001,"Fulton County, GA","Life expectancy, female",77
"Hillsborough County, FLLife expectancy, female2001",01/01/2001 12:00:00 AM,2001,"Hillsborough County, FL","Life expectancy, female",78.6
"Jefferson County, KYLife expectancy, female2001",01/01/2001 12:00:00 AM,2001,"Jefferson County, KY","Life expectancy, female",77.8
"Miami-Dade County, FLLife expectancy, female2001",01/01/2001 12:00:00 AM,2001,"Miami-Dade County, FL","Life expectancy, female",80.6
"Oklahoma County, OKLife expectancy, female2001",01/01/2001 12:00:00 AM,2001,"Oklahoma County, OK","Life expectancy, female",77.1
"Shelby County, TNLife expectancy, female2001",01/01/2001 12:00:00 AM,2001,"Shelby County, TN","Life expectancy, female",76.2
"Wake County, NCLife expectancy, female2001",01/01/2001 12:00:00 AM,2001,"Wake County, NC","Life expectancy, female",80.4
"Benchmark AverageLife expectancy, female2001",01/01/2001 12:00:00 AM,2001,Benchmark Average,"Life expectancy, female",78.1
"Orleans Parish, LALife expectancy, male2002",01/01/2002 12:00:00 AM,2002,"Orleans Parish, LA","Life expectancy, male",67.7
"Davidson County, TNLife expectancy, male2002",01/01/2002 12:00:00 AM,2002,"Davidson County, TN","Life expectancy, male",71.6
"East Baton Rouge Parish, LALife expectancy, male2002",01/01/2002 12:00:00 AM,2002,"East Baton Rouge Parish, LA","Life expectancy, male",71.9
"Fulton County, GALife expectancy, male2002",01/01/2002 12:00:00 AM,2002,"Fulton County, GA","Life expectancy, male",71.4
"Hillsborough County, FLLife expectancy, male2002",01/01/2002 12:00:00 AM,2002,"Hillsborough County, FL","Life expectancy, male",73.2
"Jefferson County, KYLife expectancy, male2002",01/01/2002 12:00:00 AM,2002,"Jefferson County, KY","Life expectancy, male",72.4
"Miami-Dade County, FLLife expectancy, male2002",01/01/2002 12:00:00 AM,2002,"Miami-Dade County, FL","Life expectancy, male",75.1
"Oklahoma County, OKLife expectancy, male2002",01/01/2002 12:00:00 AM,2002,"Oklahoma County, OK","Life expectancy, male",71.9
"Shelby County, TNLife expectancy, male2002",01/01/2002 12:00:00 AM,2002,"Shelby County, TN","Life expectancy, male",70.3
"Wake County, NCLife expectancy, male2002",01/01/2002 12:00:00 AM,2002,"Wake County, NC","Life expectancy, male",76.1
