RowID,IndicatorName,IndicatorLabel,Date,DateLabel,Month,Year,IndicatorValue
Percent of citizens reporting being satisfied with the New Orleans Police DepartmentAugust2009,Percent of citizens reporting being satisfied with the New Orleans Police Department,Satisfied,08/01/2009 12:00:00 AM,"Aug, 2009",August,2009,33
Percent of citizens reporting being satisfied with the New Orleans Police DepartmentAugust2010,Percent of citizens reporting being satisfied with the New Orleans Police Department,Satisfied,08/01/2010 12:00:00 AM,"Aug, 2010",August,2010,50
Percent of citizens reporting being satisfied with the New Orleans Police DepartmentFebruary2011,Percent of citizens reporting being satisfied with the New Orleans Police Department,Satisfied,02/01/2011 12:00:00 AM,"Feb, 2011",February,2011,60
Percent of citizens reporting being satisfied with the New Orleans Police DepartmentAugust2011,Percent of citizens reporting being satisfied with the New Orleans Police Department,Satisfied,08/01/2011 12:00:00 AM,"Aug, 2011",August,2011,47
Percent of citizens reporting being satisfied with the New Orleans Police DepartmentFebruary2012,Percent of citizens reporting being satisfied with the New Orleans Police Department,Satisfied,02/01/2012 12:00:00 AM,"Feb, 2012",February,2012,61
Percent of citizens reporting being satisfied with the New Orleans Police DepartmentAugust2012,Percent of citizens reporting being satisfied with the New Orleans Police Department,Satisfied,08/01/2012 12:00:00 AM,"Aug, 2012",August,2012,56
Percent of citizens reporting being satisfied with the New Orleans Police DepartmentMarch2013,Percent of citizens reporting being satisfied with the New Orleans Police Department,Satisfied,03/01/2013 12:00:00 AM,"Mar, 2013",March,2013,58
Percent of citizens reporting being satisfied with the New Orleans Police DepartmentAugust2013,Percent of citizens reporting being satisfied with the New Orleans Police Department,Satisfied,08/01/2013 12:00:00 AM,"Aug, 2013",August,2013,58
Percent of citizens reporting being satisfied with the New Orleans Police DepartmentMarch2014,Percent of citizens reporting being satisfied with the New Orleans Police Department,Satisfied,03/01/2014 12:00:00 AM,"Mar, 2014",March,2014,60
Percent of citizens reporting being satisfied with the New Orleans Police DepartmentFebruary2015,Percent of citizens reporting being satisfied with the New Orleans Police Department,Satisfied,02/01/2015 12:00:00 AM,"Feb, 2015",February,2015,48
Percent of citizens reporting being satisfied with the New Orleans Police DepartmentAugust2015,Percent of citizens reporting being satisfied with the New Orleans Police Department,Satisfied,08/01/2015 12:00:00 AM,"Aug, 2015",August,2015,48
Percent of citizens reporting being unsatisfied with the New Orleans Police DepartmentAugust2009,Percent of citizens reporting being unsatisfied with the New Orleans Police Department,Unsatisfied,08/01/2009 12:00:00 AM,"Aug, 2009",August,2009,60
Percent of citizens reporting being unsatisfied with the New Orleans Police DepartmentAugust2010,Percent of citizens reporting being unsatisfied with the New Orleans Police Department,Unsatisfied,08/01/2010 12:00:00 AM,"Aug, 2010",August,2010,42
Percent of citizens reporting being unsatisfied with the New Orleans Police DepartmentFebruary2011,Percent of citizens reporting being unsatisfied with the New Orleans Police Department,Unsatisfied,02/01/2011 12:00:00 AM,"Feb, 2011",February,2011,34
Percent of citizens reporting being unsatisfied with the New Orleans Police DepartmentAugust2011,Percent of citizens reporting being unsatisfied with the New Orleans Police Department,Unsatisfied,08/01/2011 12:00:00 AM,"Aug, 2011",August,2011,46
Percent of citizens reporting being unsatisfied with the New Orleans Police DepartmentFebruary2012,Percent of citizens reporting being unsatisfied with the New Orleans Police Department,Unsatisfied,02/01/2012 12:00:00 AM,"Feb, 2012",February,2012,33
Percent of citizens reporting being unsatisfied with the New Orleans Police DepartmentAugust2012,Percent of citizens reporting being unsatisfied with the New Orleans Police Department,Unsatisfied,08/01/2012 12:00:00 AM,"Aug, 2012",August,2012,35
Percent of citizens reporting being unsatisfied with the New Orleans Police DepartmentMarch2013,Percent of citizens reporting being unsatisfied with the New Orleans Police Department,Unsatisfied,03/01/2013 12:00:00 AM,"Mar, 2013",March,2013,33
Percent of citizens reporting being unsatisfied with the New Orleans Police DepartmentAugust2013,Percent of citizens reporting being unsatisfied with the New Orleans Police Department,Unsatisfied,08/01/2013 12:00:00 AM,"Aug, 2013",August,2013,36
Percent of citizens reporting being unsatisfied with the New Orleans Police DepartmentMarch2014,Percent of citizens reporting being unsatisfied with the New Orleans Police Department,Unsatisfied,03/01/2014 12:00:00 AM,"Mar, 2014",March,2014,30
Percent of citizens reporting being unsatisfied with the New Orleans Police DepartmentFebruary2015,Percent of citizens reporting being unsatisfied with the New Orleans Police Department,Unsatisfied,02/01/2015 12:00:00 AM,"Feb, 2015",February,2015,41
Percent of citizens reporting being unsatisfied with the New Orleans Police DepartmentAugust2015,Percent of citizens reporting being unsatisfied with the New Orleans Police Department,Unsatisfied,08/01/2015 12:00:00 AM,"Aug, 2015",August,2015,44
