RowID,Date,Year,Location,IndicatorName,IndicatorValue
"Orleans Parish, LAPercent of population that is food insecure 2009",01/01/2009 12:00:00 AM,2009,"Orleans Parish, LA",Percent of population that is food insecure ,19
"Davidson County, TNPercent of population that is food insecure 2009",01/01/2009 12:00:00 AM,2009,"Davidson County, TN",Percent of population that is food insecure ,16
"East Baton Rouge Parish, LAPercent of population that is food insecure 2009",01/01/2009 12:00:00 AM,2009,"East Baton Rouge Parish, LA",Percent of population that is food insecure ,15
"Fulton County, GAPercent of population that is food insecure 2009",01/01/2009 12:00:00 AM,2009,"Fulton County, GA",Percent of population that is food insecure ,19
"Hillsborough County, FLPercent of population that is food insecure 2009",01/01/2009 12:00:00 AM,2009,"Hillsborough County, FL",Percent of population that is food insecure ,17
"Jefferson County, KYPercent of population that is food insecure 2009",01/01/2009 12:00:00 AM,2009,"Jefferson County, KY",Percent of population that is food insecure ,17
"Miami-Dade County, FLPercent of population that is food insecure 2009",01/01/2009 12:00:00 AM,2009,"Miami-Dade County, FL",Percent of population that is food insecure ,18
"Oklahoma County, OKPercent of population that is food insecure 2009",01/01/2009 12:00:00 AM,2009,"Oklahoma County, OK",Percent of population that is food insecure ,17
"Shelby County, TNPercent of population that is food insecure 2009",01/01/2009 12:00:00 AM,2009,"Shelby County, TN",Percent of population that is food insecure ,20
"Wake County, NCPercent of population that is food insecure 2009",01/01/2009 12:00:00 AM,2009,"Wake County, NC",Percent of population that is food insecure ,14
Benchmark AveragePercent of population that is food insecure 2009,01/01/2009 12:00:00 AM,2009,Benchmark Average,Percent of population that is food insecure ,17
"Orleans Parish, LAPercent of population that is food insecure 2010",01/01/2010 12:00:00 AM,2010,"Orleans Parish, LA",Percent of population that is food insecure ,21
"Davidson County, TNPercent of population that is food insecure 2010",01/01/2010 12:00:00 AM,2010,"Davidson County, TN",Percent of population that is food insecure ,17
"East Baton Rouge Parish, LAPercent of population that is food insecure 2010",01/01/2010 12:00:00 AM,2010,"East Baton Rouge Parish, LA",Percent of population that is food insecure ,16
"Fulton County, GAPercent of population that is food insecure 2010",01/01/2010 12:00:00 AM,2010,"Fulton County, GA",Percent of population that is food insecure ,20
"Hillsborough County, FLPercent of population that is food insecure 2010",01/01/2010 12:00:00 AM,2010,"Hillsborough County, FL",Percent of population that is food insecure ,17
"Jefferson County, KYPercent of population that is food insecure 2010",01/01/2010 12:00:00 AM,2010,"Jefferson County, KY",Percent of population that is food insecure ,17
"Miami-Dade County, FLPercent of population that is food insecure 2010",01/01/2010 12:00:00 AM,2010,"Miami-Dade County, FL",Percent of population that is food insecure ,17
"Oklahoma County, OKPercent of population that is food insecure 2010",01/01/2010 12:00:00 AM,2010,"Oklahoma County, OK",Percent of population that is food insecure ,17
"Shelby County, TNPercent of population that is food insecure 2010",01/01/2010 12:00:00 AM,2010,"Shelby County, TN",Percent of population that is food insecure ,21
"Wake County, NCPercent of population that is food insecure 2010",01/01/2010 12:00:00 AM,2010,"Wake County, NC",Percent of population that is food insecure ,14
Benchmark AveragePercent of population that is food insecure 2010,01/01/2010 12:00:00 AM,2010,Benchmark Average,Percent of population that is food insecure ,17
"Orleans Parish, LAPercent of population that is food insecure 2011",01/01/2011 12:00:00 AM,2011,"Orleans Parish, LA",Percent of population that is food insecure ,23
"Davidson County, TNPercent of population that is food insecure 2011",01/01/2011 12:00:00 AM,2011,"Davidson County, TN",Percent of population that is food insecure ,18
"East Baton Rouge Parish, LAPercent of population that is food insecure 2011",01/01/2011 12:00:00 AM,2011,"East Baton Rouge Parish, LA",Percent of population that is food insecure ,17
"Fulton County, GAPercent of population that is food insecure 2011",01/01/2011 12:00:00 AM,2011,"Fulton County, GA",Percent of population that is food insecure ,21
"Hillsborough County, FLPercent of population that is food insecure 2011",01/01/2011 12:00:00 AM,2011,"Hillsborough County, FL",Percent of population that is food insecure ,17
"Jefferson County, KYPercent of population that is food insecure 2011",01/01/2011 12:00:00 AM,2011,"Jefferson County, KY",Percent of population that is food insecure ,18
"Miami-Dade County, FLPercent of population that is food insecure 2011",01/01/2011 12:00:00 AM,2011,"Miami-Dade County, FL",Percent of population that is food insecure ,18
"Oklahoma County, OKPercent of population that is food insecure 2011",01/01/2011 12:00:00 AM,2011,"Oklahoma County, OK",Percent of population that is food insecure ,18
"Shelby County, TNPercent of population that is food insecure 2011",01/01/2011 12:00:00 AM,2011,"Shelby County, TN",Percent of population that is food insecure ,22
"Wake County, NCPercent of population that is food insecure 2011",01/01/2011 12:00:00 AM,2011,"Wake County, NC",Percent of population that is food insecure ,15
Benchmark AveragePercent of population that is food insecure 2011,01/01/2011 12:00:00 AM,2011,Benchmark Average,Percent of population that is food insecure ,18
"Orleans Parish, LAPercent of population that is food insecure 2012",01/01/2012 12:00:00 AM,2012,"Orleans Parish, LA",Percent of population that is food insecure ,22
"Davidson County, TNPercent of population that is food insecure 2012",01/01/2012 12:00:00 AM,2012,"Davidson County, TN",Percent of population that is food insecure ,18
"East Baton Rouge Parish, LAPercent of population that is food insecure 2012",01/01/2012 12:00:00 AM,2012,"East Baton Rouge Parish, LA",Percent of population that is food insecure ,17
"Fulton County, GAPercent of population that is food insecure 2012",01/01/2012 12:00:00 AM,2012,"Fulton County, GA",Percent of population that is food insecure ,15
"Hillsborough County, FLPercent of population that is food insecure 2012",01/01/2012 12:00:00 AM,2012,"Hillsborough County, FL",Percent of population that is food insecure ,17
"Jefferson County, KYPercent of population that is food insecure 2012",01/01/2012 12:00:00 AM,2012,"Jefferson County, KY",Percent of population that is food insecure ,17
"Miami-Dade County, FLPercent of population that is food insecure 2012",01/01/2012 12:00:00 AM,2012,"Miami-Dade County, FL",Percent of population that is food insecure ,15
"Oklahoma County, OKPercent of population that is food insecure 2012",01/01/2012 12:00:00 AM,2012,"Oklahoma County, OK",Percent of population that is food insecure ,17
"Shelby County, TNPercent of population that is food insecure 2012",01/01/2012 12:00:00 AM,2012,"Shelby County, TN",Percent of population that is food insecure ,21
"Wake County, NCPercent of population that is food insecure 2012",01/01/2012 12:00:00 AM,2012,"Wake County, NC",Percent of population that is food insecure ,15
Benchmark AveragePercent of population that is food insecure 2012,01/01/2012 12:00:00 AM,2012,Benchmark Average,Percent of population that is food insecure ,17
"Orleans Parish, LAPercent of population that is food insecure 2013",01/01/2013 12:00:00 AM,2013,"Orleans Parish, LA",Percent of population that is food insecure ,22
"Davidson County, TNPercent of population that is food insecure 2013",01/01/2013 12:00:00 AM,2013,"Davidson County, TN",Percent of population that is food insecure ,17
"East Baton Rouge Parish, LAPercent of population that is food insecure 2013",01/01/2013 12:00:00 AM,2013,"East Baton Rouge Parish, LA",Percent of population that is food insecure ,17
"Fulton County, GAPercent of population that is food insecure 2013",01/01/2013 12:00:00 AM,2013,"Fulton County, GA",Percent of population that is food insecure ,20
"Hillsborough County, FLPercent of population that is food insecure 2013",01/01/2013 12:00:00 AM,2013,"Hillsborough County, FL",Percent of population that is food insecure ,16
"Jefferson County, KYPercent of population that is food insecure 2013",01/01/2013 12:00:00 AM,2013,"Jefferson County, KY",Percent of population that is food insecure ,17
"Miami-Dade County, FLPercent of population that is food insecure 2013",01/01/2013 12:00:00 AM,2013,"Miami-Dade County, FL",Percent of population that is food insecure ,12
"Oklahoma County, OKPercent of population that is food insecure 2013",01/01/2013 12:00:00 AM,2013,"Oklahoma County, OK",Percent of population that is food insecure ,17
"Shelby County, TNPercent of population that is food insecure 2013",01/01/2013 12:00:00 AM,2013,"Shelby County, TN",Percent of population that is food insecure ,22
"Wake County, NCPercent of population that is food insecure 2013",01/01/2013 12:00:00 AM,2013,"Wake County, NC",Percent of population that is food insecure ,14
Benchmark AveragePercent of population that is food insecure 2013,01/01/2013 12:00:00 AM,2013,Benchmark Average,Percent of population that is food insecure ,17
