Row_ID,Year,Date,Parish,Very_good,Good,Fair,Poor,Very_poor,Total_VeryGood_Good_Fair
Orleans1986,1986,01/01/1986 12:00:00 AM,Orleans,1,24,50,19,,75
Jefferson1986,1986,01/01/1986 12:00:00 AM,Jefferson,3,40,43,10,,86
Orleans1988,1988,01/01/1988 12:00:00 AM,Orleans,2,16,54,24,,72
Jefferson1988,1988,01/01/1988 12:00:00 AM,Jefferson,2,44,42,6,,88
Orleans1990,1990,01/01/1990 12:00:00 AM,Orleans,3,20,52,22,,75
Jefferson1990,1990,01/01/1990 12:00:00 AM,Jefferson,2,42,46,7,,90
Orleans1992,1992,01/01/1992 12:00:00 AM,Orleans,1,13,49,34,,63
Jefferson1992,1992,01/01/1992 12:00:00 AM,Jefferson,2,42,40,11,,84
Orleans1994,1994,01/01/1994 12:00:00 AM,Orleans,2,13,44,35,,59
Jefferson1994,1994,01/01/1994 12:00:00 AM,Jefferson,2,42,43,9,,87
Orleans1996,1996,01/01/1996 12:00:00 AM,Orleans,2,18,48,30,,68
Jefferson1996,1996,01/01/1996 12:00:00 AM,Jefferson,2,46,39,7,,87
Orleans1998,1998,01/01/1998 12:00:00 AM,Orleans,2,24,53,18,,79
Jefferson1998,1998,01/01/1998 12:00:00 AM,Jefferson,5,46,39,6,,90
Orleans2000,2000,01/01/2000 12:00:00 AM,Orleans,3,18,48,27,,69
Jefferson2000,2000,01/01/2000 12:00:00 AM,Jefferson,6,45,36,9,,87
Orleans2002,2002,01/01/2002 12:00:00 AM,Orleans,1,15,51,29,,67
Jefferson2002,2002,01/01/2002 12:00:00 AM,Jefferson,6,47,36,7,,89
Orleans2004,2004,01/01/2004 12:00:00 AM,Orleans,2,18,47,31,,67
Jefferson2004,2004,01/01/2004 12:00:00 AM,Jefferson,4,47,38,8,,89
Orleans2006,2006,01/01/2006 12:00:00 AM,Orleans,2,13,30,37,16,45
Jefferson2006,2006,01/01/2006 12:00:00 AM,Jefferson,10,42,32,9,4,84
Orleans2007,2007,01/01/2007 12:00:00 AM,Orleans,1,10,34,36,16,45
Jefferson2007,2007,01/01/2007 12:00:00 AM,Jefferson,10,41,34,9,3,85
Orleans2008,2008,01/01/2008 12:00:00 AM,Orleans,2,11,31,32,20,44
Jefferson2008,2008,01/01/2008 12:00:00 AM,Jefferson,14,42,32,7,2,88
Orleans2012,2012,01/01/2012 12:00:00 AM,Orleans,3,19,43,23,8,65
Jefferson2012,2012,01/01/2012 12:00:00 AM,Jefferson,4,52,32,6,2,88
Orleans2013,2013,01/01/2013 12:00:00 AM,Orleans,3,20,45,24,8,68
Jefferson2013,2013,01/01/2013 12:00:00 AM,Jefferson,7,48,31,7,2,86
