RowID,Date,Year,Continuum of Care,State,IndicatorName,IndicatorValue
New Orleans Continuum of CareLAHomeless Point in Time Count2005,01/01/2005 12:00:00 AM,2005,New Orleans Continuum of Care,LA,Homeless Point in Time Count,2051
Atlanta Continuum of CareGAHomeless Point in Time Count2005,01/01/2005 12:00:00 AM,2005,Atlanta Continuum of Care,GA,Homeless Point in Time Count,6832
Baton Rouge Continuum of CareLAHomeless Point in Time Count2005,01/01/2005 12:00:00 AM,2005,Baton Rouge Continuum of Care,LA,Homeless Point in Time Count,890
Nashville Continuum of CareTNHomeless Point in Time Count2005,01/01/2005 12:00:00 AM,2005,Nashville Continuum of Care,TN,Homeless Point in Time Count,1542
Tampa Continuum of CareFLHomeless Point in Time Count2005,01/01/2005 12:00:00 AM,2005,Tampa Continuum of Care,FL,Homeless Point in Time Count,9871
Louisville Continuum of CareKYHomeless Point in Time Count2005,01/01/2005 12:00:00 AM,2005,Louisville Continuum of Care,KY,Homeless Point in Time Count,1473
Miami Continuum of CareFLHomeless Point in Time Count2005,01/01/2005 12:00:00 AM,2005,Miami Continuum of Care,FL,Homeless Point in Time Count,3927
Oklahoma City Continuum of CareOKHomeless Point in Time Count2005,01/01/2005 12:00:00 AM,2005,Oklahoma City Continuum of Care,OK,Homeless Point in Time Count,1345
Memphis Continuum of CareTNHomeless Point in Time Count2005,01/01/2005 12:00:00 AM,2005,Memphis Continuum of Care,TN,Homeless Point in Time Count,1876
Raleigh Continuum of CareNCHomeless Point in Time Count2005,01/01/2005 12:00:00 AM,2005,Raleigh Continuum of Care,NC,Homeless Point in Time Count,1106
Benchmark AverageHomeless Point in Time Count2005,01/01/2005 12:00:00 AM,2005,Benchmark Average,,Homeless Point in Time Count,3207
New Orleans Continuum of CareLAHomeless Point in Time Count2006,01/01/2006 12:00:00 AM,2006,New Orleans Continuum of Care,LA,Homeless Point in Time Count,2051
Atlanta Continuum of CareGAHomeless Point in Time Count2006,01/01/2006 12:00:00 AM,2006,Atlanta Continuum of Care,GA,Homeless Point in Time Count,6483
Baton Rouge Continuum of CareLAHomeless Point in Time Count2006,01/01/2006 12:00:00 AM,2006,Baton Rouge Continuum of Care,LA,Homeless Point in Time Count,744
Nashville Continuum of CareTNHomeless Point in Time Count2006,01/01/2006 12:00:00 AM,2006,Nashville Continuum of Care,TN,Homeless Point in Time Count,1982
Tampa Continuum of CareFLHomeless Point in Time Count2006,01/01/2006 12:00:00 AM,2006,Tampa Continuum of Care,FL,Homeless Point in Time Count,9871
Louisville Continuum of CareKYHomeless Point in Time Count2006,01/01/2006 12:00:00 AM,2006,Louisville Continuum of Care,KY,Homeless Point in Time Count,2067
Miami Continuum of CareFLHomeless Point in Time Count2006,01/01/2006 12:00:00 AM,2006,Miami Continuum of Care,FL,Homeless Point in Time Count,4709
Oklahoma City Continuum of CareOKHomeless Point in Time Count2006,01/01/2006 12:00:00 AM,2006,Oklahoma City Continuum of Care,OK,Homeless Point in Time Count,1426
Memphis Continuum of CareTNHomeless Point in Time Count2006,01/01/2006 12:00:00 AM,2006,Memphis Continuum of Care,TN,Homeless Point in Time Count,1776
Raleigh Continuum of CareNCHomeless Point in Time Count2006,01/01/2006 12:00:00 AM,2006,Raleigh Continuum of Care,NC,Homeless Point in Time Count,981
Benchmark AverageHomeless Point in Time Count2006,01/01/2006 12:00:00 AM,2006,Benchmark Average,,Homeless Point in Time Count,3338
