RowID,Date,Year,IndicatorName,IndicatorValue
Inmates in Orleans Parish Prison (daily)1-1-2011,01/01/2011,2011,Inmates in Orleans Parish Prison (daily),2828
Inmates in Orleans Parish Prison (daily)1-2-2011,01/02/2011,2011,Inmates in Orleans Parish Prison (daily),2839
Inmates in Orleans Parish Prison (daily)1-3-2011,01/03/2011,2011,Inmates in Orleans Parish Prison (daily),2871
Inmates in Orleans Parish Prison (daily)1-4-2011,01/04/2011,2011,Inmates in Orleans Parish Prison (daily),2871
Inmates in Orleans Parish Prison (daily)1-5-2011,01/05/2011,2011,Inmates in Orleans Parish Prison (daily),2812
Inmates in Orleans Parish Prison (daily)1-6-2011,01/06/2011,2011,Inmates in Orleans Parish Prison (daily),2811
Inmates in Orleans Parish Prison (daily)1-7-2011,01/07/2011,2011,Inmates in Orleans Parish Prison (daily),2827
Inmates in Orleans Parish Prison (daily)1-8-2011,01/08/2011,2011,Inmates in Orleans Parish Prison (daily),2812
Inmates in Orleans Parish Prison (daily)1-9-2011,01/09/2011,2011,Inmates in Orleans Parish Prison (daily),2817
Inmates in Orleans Parish Prison (daily)1-10-2011,01/10/2011,2011,Inmates in Orleans Parish Prison (daily),2845
Inmates in Orleans Parish Prison (daily)1-11-2011,01/11/2011,2011,Inmates in Orleans Parish Prison (daily),2856
Inmates in Orleans Parish Prison (daily)1-12-2011,01/12/2011,2011,Inmates in Orleans Parish Prison (daily),2830
Inmates in Orleans Parish Prison (daily)1-13-2011,01/13/2011,2011,Inmates in Orleans Parish Prison (daily),2825
Inmates in Orleans Parish Prison (daily)1-14-2011,01/14/2011,2011,Inmates in Orleans Parish Prison (daily),2844
Inmates in Orleans Parish Prison (daily)1-15-2011,01/15/2011,2011,Inmates in Orleans Parish Prison (daily),2847
Inmates in Orleans Parish Prison (daily)1-16-2011,01/16/2011,2011,Inmates in Orleans Parish Prison (daily),2839
Inmates in Orleans Parish Prison (daily)1-17-2011,01/17/2011,2011,Inmates in Orleans Parish Prison (daily),2844
Inmates in Orleans Parish Prison (daily)1-18-2011,01/18/2011,2011,Inmates in Orleans Parish Prison (daily),2877
Inmates in Orleans Parish Prison (daily)1-19-2011,01/19/2011,2011,Inmates in Orleans Parish Prison (daily),2821
Inmates in Orleans Parish Prison (daily)1-20-2011,01/20/2011,2011,Inmates in Orleans Parish Prison (daily),2829
Inmates in Orleans Parish Prison (daily)1-21-2011,01/21/2011,2011,Inmates in Orleans Parish Prison (daily),2835
Inmates in Orleans Parish Prison (daily)1-22-2011,01/22/2011,2011,Inmates in Orleans Parish Prison (daily),2849
Inmates in Orleans Parish Prison (daily)1-23-2011,01/23/2011,2011,Inmates in Orleans Parish Prison (daily),2855
Inmates in Orleans Parish Prison (daily)1-24-2011,01/24/2011,2011,Inmates in Orleans Parish Prison (daily),2884
Inmates in Orleans Parish Prison (daily)1-25-2011,01/25/2011,2011,Inmates in Orleans Parish Prison (daily),2890
Inmates in Orleans Parish Prison (daily)1-26-2011,01/26/2011,2011,Inmates in Orleans Parish Prison (daily),2859
Inmates in Orleans Parish Prison (daily)1-27-2011,01/27/2011,2011,Inmates in Orleans Parish Prison (daily),2875
Inmates in Orleans Parish Prison (daily)1-28-2011,01/28/2011,2011,Inmates in Orleans Parish Prison (daily),2901
Inmates in Orleans Parish Prison (daily)1-29-2011,01/29/2011,2011,Inmates in Orleans Parish Prison (daily),2923
Inmates in Orleans Parish Prison (daily)1-30-2011,01/30/2011,2011,Inmates in Orleans Parish Prison (daily),2924
Inmates in Orleans Parish Prison (daily)1-31-2011,01/31/2011,2011,Inmates in Orleans Parish Prison (daily),2939
Inmates in Orleans Parish Prison (daily)2-1-2011,02/01/2011,2011,Inmates in Orleans Parish Prison (daily),2905
Inmates in Orleans Parish Prison (daily)2-2-2011,02/02/2011,2011,Inmates in Orleans Parish Prison (daily),2905
Inmates in Orleans Parish Prison (daily)2-3-2011,02/03/2011,2011,Inmates in Orleans Parish Prison (daily),2906
Inmates in Orleans Parish Prison (daily)2-4-2011,02/04/2011,2011,Inmates in Orleans Parish Prison (daily),2896
Inmates in Orleans Parish Prison (daily)2-5-2011,02/05/2011,2011,Inmates in Orleans Parish Prison (daily),2895
Inmates in Orleans Parish Prison (daily)2-6-2011,02/06/2011,2011,Inmates in Orleans Parish Prison (daily),2870
Inmates in Orleans Parish Prison (daily)2-7-2011,02/07/2011,2011,Inmates in Orleans Parish Prison (daily),2886
Inmates in Orleans Parish Prison (daily)2-8-2011,02/08/2011,2011,Inmates in Orleans Parish Prison (daily),2862
Inmates in Orleans Parish Prison (daily)2-9-2011,02/09/2011,2011,Inmates in Orleans Parish Prison (daily),2830
Inmates in Orleans Parish Prison (daily)2-10-2011,02/10/2011,2011,Inmates in Orleans Parish Prison (daily),2857
Inmates in Orleans Parish Prison (daily)2-11-2011,02/11/2011,2011,Inmates in Orleans Parish Prison (daily),2870
