Row_ID,Year,Date,Parish,Very_good,Good,Fair,Poor,Very_poor,Total_VeryGood_Good_Fair
Orleans1986,1986,01/01/1986 12:00:00 AM,Orleans,7,27,39,21,,73
Jefferson1986,1986,01/01/1986 12:00:00 AM,Jefferson,12,42,32,9,,86
Orleans1988,1988,01/01/1988 12:00:00 AM,Orleans,8,27,35,26,,70
Jefferson1988,1988,01/01/1988 12:00:00 AM,Jefferson,8,48,27,11,,83
Orleans1990,1990,01/01/1990 12:00:00 AM,Orleans,5,28,37,26,,70
Jefferson1990,1990,01/01/1990 12:00:00 AM,Jefferson,11,49,25,13,,85
Orleans1992,1992,01/01/1992 12:00:00 AM,Orleans,3,26,33,33,,62
Jefferson1992,1992,01/01/1992 12:00:00 AM,Jefferson,14,53,20,9,,87
Orleans1994,1994,01/01/1994 12:00:00 AM,Orleans,3,18,32,44,,53
Jefferson1994,1994,01/01/1994 12:00:00 AM,Jefferson,11,50,24,9,,85
Orleans1996,1996,01/01/1996 12:00:00 AM,Orleans,4,26,36,30,,66
Jefferson1996,1996,01/01/1996 12:00:00 AM,Jefferson,14,53,22,8,,89
Orleans1998,1998,01/01/1998 12:00:00 AM,Orleans,5,30,35,26,,70
Jefferson1998,1998,01/01/1998 12:00:00 AM,Jefferson,12,53,23,8,,88
Orleans2000,2000,01/01/2000 12:00:00 AM,Orleans,5,27,37,26,,69
Jefferson2000,2000,01/01/2000 12:00:00 AM,Jefferson,19,44,25,8,,88
Orleans2002,2002,01/01/2002 12:00:00 AM,Orleans,2,30,37,28,,69
Jefferson2002,2002,01/01/2002 12:00:00 AM,Jefferson,18,56,17,5,,91
Orleans2004,2004,01/01/2004 12:00:00 AM,Orleans,4,31,37,24,,72
Jefferson2004,2004,01/01/2004 12:00:00 AM,Jefferson,18,54,18,8,,90
Orleans2012,2012,01/01/2012 12:00:00 AM,Orleans,6,28,32,24,7,66
Jefferson2012,2012,01/01/2012 12:00:00 AM,Jefferson,22,51,15,7,1,88
Orleans2013,2013,01/01/2013 12:00:00 AM,Orleans,6,21,28,28,10,55
Jefferson2013,2013,01/01/2013 12:00:00 AM,Jefferson,19,42,20,6,3,81
