Row ID,Year,Date,Parish,Very Good,Good,Fair,Poor,Very Poor,Total_VeryGood_Good_Fair
Orleans1986,1986,01/01/1986 12:00:00 AM,Orleans,4,16,37,40,,57
Jefferson1986,1986,01/01/1986 12:00:00 AM,Jefferson,6,40,37,16,,83
Orleans1988,1988,01/01/1988 12:00:00 AM,Orleans,2,17,29,51,,48
Jefferson1988,1988,01/01/1988 12:00:00 AM,Jefferson,2,40,40,18,,82
Orleans1990,1990,01/01/1990 12:00:00 AM,Orleans,1,12,30,56,,43
Jefferson1990,1990,01/01/1990 12:00:00 AM,Jefferson,4,37,37,22,,78
Orleans1992,1992,01/01/1992 12:00:00 AM,Orleans,1,9,29,60,,39
Jefferson1992,1992,01/01/1992 12:00:00 AM,Jefferson,4,34,36,26,,74
Orleans1994,1994,01/01/1994 12:00:00 AM,Orleans,1,10,26,63,,37
Jefferson1994,1994,01/01/1994 12:00:00 AM,Jefferson,2,36,39,22,,77
Orleans1996,1996,01/01/1996 12:00:00 AM,Orleans,2,7,20,71,,29
Jefferson1996,1996,01/01/1996 12:00:00 AM,Jefferson,7,33,38,21,,78
Orleans1998,1998,01/01/1998 12:00:00 AM,Orleans,1,9,24,65,,34
Jefferson1998,1998,01/01/1998 12:00:00 AM,Jefferson,5,36,35,23,,76
Orleans2000,2000,01/01/2000 12:00:00 AM,Orleans,1,10,17,70,,28
Jefferson2000,2000,01/01/2000 12:00:00 AM,Jefferson,5,31,36,27,,72
Orleans2002,2002,01/01/2002 12:00:00 AM,Orleans,1,5,12,81,,18
Jefferson2002,2002,01/01/2002 12:00:00 AM,Jefferson,6,38,32,22,,76
Orleans2004,2004,01/01/2004 12:00:00 AM,Orleans,1,9,22,67,,32
Jefferson2004,2004,01/01/2004 12:00:00 AM,Jefferson,7,33,39,21,,79
Orleans2006,2006,01/01/2006 12:00:00 AM,Orleans,2,10,14,35,39,26
Jefferson2006,2006,01/01/2006 12:00:00 AM,Jefferson,11,37,32,16,4,80
Orleans2007,2007,01/01/2007 12:00:00 AM,Orleans,2,7,21,35,35,30
Jefferson2007,2007,01/01/2007 12:00:00 AM,Jefferson,11,39,27,15,7,77
Orleans2008,2008,01/01/2008 12:00:00 AM,Orleans,1,5,17,39,38,23
Jefferson2008,2008,01/01/2008 12:00:00 AM,Jefferson,11,45,27,13,4,83
Orleans2012,2012,01/01/2012 12:00:00 AM,Orleans,3,10,14,35,37,27
Jefferson2012,2012,01/01/2012 12:00:00 AM,Jefferson,13,44,28,11,4,85
Orleans2013,2013,01/01/2013 12:00:00 AM,Orleans,2,9,18,37,33,29
Jefferson2013,2013,01/01/2013 12:00:00 AM,Jefferson,9,44,30,12,4,83
