Row_ID,Year,Date,Parish,Very_good,Good,Fair,Poor,Very_poor,Total_VeryGood_Good_Fair
Orleans2006,2006,01/01/2006 12:00:00 AM,Orleans,3,14,18,37,28,35
Jefferson2006,2006,01/01/2006 12:00:00 AM,Jefferson,12,35,28,19,6,75
Orleans2007,2007,01/01/2007 12:00:00 AM,Orleans,6,25,34,25,10,65
Jefferson2007,2007,01/01/2007 12:00:00 AM,Jefferson,13,41,26,14,4,80
Orleans2008,2008,01/01/2008 12:00:00 AM,Orleans,8,27,22,22,18,57
Jefferson2008,2008,01/01/2008 12:00:00 AM,Jefferson,18,41,27,12,2,86
Orleans2012,2012,01/01/2012 12:00:00 AM,Orleans,14,49,26,9,2,89
Jefferson2012,2012,01/01/2012 12:00:00 AM,Jefferson,24,62,11,2,0,97
Orleans2013,2013,01/01/2013 12:00:00 AM,Orleans,11,62,18,7,2,91
Jefferson2013,2013,01/01/2013 12:00:00 AM,Jefferson,21,61,15,1,0,97
