RowID,IndicatorName,IndicatorLabel,Date,DateLabel,Month,Year,IndicatorValue
Percent of citizens reporting feeling safe in their neighborhoodAugust2009,Percent of citizens reporting feeling safe in their neighborhood,Safe,08/01/2009 12:00:00 AM,"Aug, 2009",August,2009,69
Percent of citizens reporting feeling safe in their neighborhoodAugust2010,Percent of citizens reporting feeling safe in their neighborhood,Safe,08/01/2010 12:00:00 AM,"Aug, 2010",August,2010,76
Percent of citizens reporting feeling safe in their neighborhoodFebruary2011,Percent of citizens reporting feeling safe in their neighborhood,Safe,02/01/2011 12:00:00 AM,"Feb, 2011",February,2011,74
Percent of citizens reporting feeling safe in their neighborhoodAugust2011,Percent of citizens reporting feeling safe in their neighborhood,Safe,08/01/2011 12:00:00 AM,"Aug, 2011",August,2011,77
Percent of citizens reporting feeling safe in their neighborhoodFebruary2012,Percent of citizens reporting feeling safe in their neighborhood,Safe,02/01/2012 12:00:00 AM,"Feb, 2012",February,2012,81
Percent of citizens reporting feeling safe in their neighborhoodAugust2012,Percent of citizens reporting feeling safe in their neighborhood,Safe,08/01/2012 12:00:00 AM,"Aug, 2012",August,2012,79
Percent of citizens reporting feeling safe in their neighborhoodMarch2013,Percent of citizens reporting feeling safe in their neighborhood,Safe,03/01/2013 12:00:00 AM,"Mar, 2013",March,2013,79
Percent of citizens reporting feeling safe in their neighborhoodAugust2013,Percent of citizens reporting feeling safe in their neighborhood,Safe,08/01/2013 12:00:00 AM,"Aug, 2013",August,2013,85
Percent of citizens reporting feeling safe in their neighborhoodMarch2014,Percent of citizens reporting feeling safe in their neighborhood,Safe,03/01/2014 12:00:00 AM,"Mar, 2014",March,2014,81
Percent of citizens reporting feeling safe in their neighborhoodFebruary2015,Percent of citizens reporting feeling safe in their neighborhood,Safe,02/01/2015 12:00:00 AM,"Feb, 2015",February,2015,77
Percent of citizens reporting feeling safe in their neighborhoodAugust2015,Percent of citizens reporting feeling safe in their neighborhood,Safe,08/01/2015 12:00:00 AM,"Aug, 2015",August,2015,79
Percent of citizens reporting feeling unsafe in their neighborhoodAugust2009,Percent of citizens reporting feeling unsafe in their neighborhood,Unsafe,08/01/2009 12:00:00 AM,"Aug, 2009",August,2009,29
Percent of citizens reporting feeling unsafe in their neighborhoodAugust2010,Percent of citizens reporting feeling unsafe in their neighborhood,Unsafe,08/01/2010 12:00:00 AM,"Aug, 2010",August,2010,23
Percent of citizens reporting feeling unsafe in their neighborhoodFebruary2011,Percent of citizens reporting feeling unsafe in their neighborhood,Unsafe,02/01/2011 12:00:00 AM,"Feb, 2011",February,2011,25
Percent of citizens reporting feeling unsafe in their neighborhoodAugust2011,Percent of citizens reporting feeling unsafe in their neighborhood,Unsafe,08/01/2011 12:00:00 AM,"Aug, 2011",August,2011,20
Percent of citizens reporting feeling unsafe in their neighborhoodFebruary2012,Percent of citizens reporting feeling unsafe in their neighborhood,Unsafe,02/01/2012 12:00:00 AM,"Feb, 2012",February,2012,17
Percent of citizens reporting feeling unsafe in their neighborhoodAugust2012,Percent of citizens reporting feeling unsafe in their neighborhood,Unsafe,08/01/2012 12:00:00 AM,"Aug, 2012",August,2012,21
Percent of citizens reporting feeling unsafe in their neighborhoodMarch2013,Percent of citizens reporting feeling unsafe in their neighborhood,Unsafe,03/01/2013 12:00:00 AM,"Mar, 2013",March,2013,19
Percent of citizens reporting feeling unsafe in their neighborhoodAugust2013,Percent of citizens reporting feeling unsafe in their neighborhood,Unsafe,08/01/2013 12:00:00 AM,"Aug, 2013",August,2013,14
Percent of citizens reporting feeling unsafe in their neighborhoodMarch2014,Percent of citizens reporting feeling unsafe in their neighborhood,Unsafe,03/01/2014 12:00:00 AM,"Mar, 2014",March,2014,18
Percent of citizens reporting feeling unsafe in their neighborhoodFebruary2015,Percent of citizens reporting feeling unsafe in their neighborhood,Unsafe,02/01/2015 12:00:00 AM,"Feb, 2015",February,2015,22
Percent of citizens reporting feeling unsafe in their neighborhoodAugust2015,Percent of citizens reporting feeling unsafe in their neighborhood,Unsafe,08/01/2015 12:00:00 AM,"Aug, 2015",August,2015,20
