Row_ID,Year,Date,Parish,Very_good,Good,Fair,Poor,Very_poor,Total_VeryGood_Good_Fair
Orleans1986,1986,01/01/1986 12:00:00 AM,Orleans,4,41,40,11,,85
Jefferson1986,1986,01/01/1986 12:00:00 AM,Jefferson,9,51,31,7,,91
Orleans1988,1988,01/01/1988 12:00:00 AM,Orleans,3,27,46,22,,76
Jefferson1988,1988,01/01/1988 12:00:00 AM,Jefferson,8,54,29,7,,91
Orleans1990,1990,01/01/1990 12:00:00 AM,Orleans,5,32,44,16,,81
Jefferson1990,1990,01/01/1990 12:00:00 AM,Jefferson,15,50,29,6,,94
Orleans1992,1992,01/01/1992 12:00:00 AM,Orleans,2,30,42,24,,74
Jefferson1992,1992,01/01/1992 12:00:00 AM,Jefferson,10,57,27,5,,94
Orleans1994,1994,01/01/1994 12:00:00 AM,Orleans,2,17,38,41,,57
Jefferson1994,1994,01/01/1994 12:00:00 AM,Jefferson,15,53,24,6,,92
Orleans1996,1996,01/01/1996 12:00:00 AM,Orleans,2,21,41,33,,64
Jefferson1996,1996,01/01/1996 12:00:00 AM,Jefferson,20,47,23,9,,90
Orleans1998,1998,01/01/1998 12:00:00 AM,Orleans,7,43,38,10,,88
Jefferson1998,1998,01/01/1998 12:00:00 AM,Jefferson,20,49,20,8,,89
Orleans2000,2000,01/01/2000 12:00:00 AM,Orleans,6,42,36,15,,84
Jefferson2000,2000,01/01/2000 12:00:00 AM,Jefferson,17,53,21,7,,91
Orleans2002,2002,01/01/2002 12:00:00 AM,Orleans,4,37,40,18,,81
Jefferson2002,2002,01/01/2002 12:00:00 AM,Jefferson,20,53,20,6,,93
Orleans2004,2004,01/01/2004 12:00:00 AM,Orleans,3,27,40,29,,70
Jefferson2004,2004,01/01/2004 12:00:00 AM,Jefferson,21,52,19,7,,92
Orleans2006,2006,01/01/2006 12:00:00 AM,Orleans,0,21,32,26,14,53
Jefferson2006,2006,01/01/2006 12:00:00 AM,Jefferson,18,45,23,9,3,86
Orleans2007,2007,01/01/2007 12:00:00 AM,Orleans,3,20,38,29,8,61
Jefferson2007,2007,01/01/2007 12:00:00 AM,Jefferson,23,45,23,6,3,91
Orleans2008,2008,01/01/2008 12:00:00 AM,Orleans,7,23,39,21,9,69
Jefferson2008,2008,01/01/2008 12:00:00 AM,Jefferson,27,49,19,2,1,95
Orleans2012,2012,01/01/2012 12:00:00 AM,Orleans,3,20,43,23,8,66
Jefferson2012,2012,01/01/2012 12:00:00 AM,Jefferson,28,48,16,5,2,92
Orleans2013,2013,01/01/2013 12:00:00 AM,Orleans,3,21,42,25,7,66
Jefferson2013,2013,01/01/2013 12:00:00 AM,Jefferson,19,53,13,9,4,85
